Drug A,Drug B,Cell Line Name,Score
Lapatinib,Sorafenib,HT144,6.093529951556334
metformin,Vorinostat,NCIH2122,-33.3004252633332
Sunitinib,Sorafenib,SK-OV-3,-7.789052707582185
metformin,geldanamycin,RKO,-61.6890402284636
Vorinostat,geldanamycin,A375,-10.613183176373598
metformin,geldanamycin,NCIH23,-12.6203596574975
paclitaxel,Lapatinib,A2058,-15.2234416939723
paclitaxel,geldanamycin,MDAMB436,3.42848617073407
metformin,Erlotinib,CAOV3,-50.4820483838523
metformin,Sunitinib,SW837,-71.7765711158932
vinblastine,Sorafenib,A2780,4.338369925074482
metformin,Sorafenib,LOVO,-34.0729170807354
vinblastine,Vorinostat,CAOV3,-10.285920522724917
paclitaxel,Sorafenib,SK-OV-3,2.71808902854303
vinblastine,Vorinostat,RPMI7951,2.26767773086615
vinblastine,Sunitinib,A375,0.3189015990893598
metformin,geldanamycin,SW-620,-39.873530292237
vinblastine,Vorinostat,SK-OV-3,5.053393098685065
Erlotinib,Dasatinib,HCT116,-5.77665564868809
metformin,geldanamycin,HT144,-22.4462583852743
metformin,Sorafenib,RPMI7951,-10.162041561092582
vinblastine,Lapatinib,SW837,8.70853787657841
paclitaxel,Sunitinib,NCIH1650,-3.73521146317182
metformin,Sorafenib,T-47D,-1.3326443092463092
vinblastine,Vorinostat,NCIH23,-5.830142578087577
Erlotinib,Sorafenib,NCIH2122,-7.815562497274902
vinblastine,geldanamycin,VCAP,-20.7558388881914
Erlotinib,geldanamycin,OVCAR3,-1.03656181464744
vinblastine,Sorafenib,OVCAR3,-3.930469946192945
Lapatinib,geldanamycin,NCI-H460,5.391699208755202
Sunitinib,Erlotinib,NCI-H460,7.2595381633228
Erlotinib,Dasatinib,A2780,9.30630078585379
Vorinostat,geldanamycin,HT144,-3.77133000272187
metformin,Vorinostat,SKMES1,-42.936846127142296
Dasatinib,geldanamycin,OVCAR3,0.5211206139658471
Dasatinib,Sorafenib,OVCAR3,0.7345204104922589
Dasatinib,geldanamycin,SKMES1,6.86106163750481
metformin,Sorafenib,NCI-H460,-21.61387508166409
metformin,Vorinostat,UACC62,-24.577379709126298
Erlotinib,Sorafenib,SW-620,3.986867952152618
metformin,Vorinostat,A2780,-63.2346715672369
paclitaxel,Erlotinib,UACC62,4.55602013063716
Vorinostat,Dasatinib,HCT116,-20.3623076046531
Dasatinib,Sorafenib,OV90,8.678125432705007
Vorinostat,Dasatinib,SK-OV-3,-2.1147225087047508
Sunitinib,Erlotinib,T-47D,-1.14890133483728
Erlotinib,Sorafenib,A375,3.7921116228684086
vinblastine,geldanamycin,SKMES1,-1.3811964732242277
paclitaxel,Dasatinib,NCIH23,0.1752112379752922
Erlotinib,geldanamycin,A2780,3.3452637215970498
Vorinostat,Erlotinib,SKMES1,6.63109301847755
metformin,Vorinostat,A2058,-8.72128086410909
paclitaxel,geldanamycin,UACC62,-0.1160299782726794
paclitaxel,Dasatinib,A2780,0.1119561526876595
paclitaxel,Erlotinib,A375,11.877856996640997
Lapatinib,Sorafenib,NCIH2122,-3.2142130797467816
Vorinostat,Sorafenib,A2058,-3.9552380984537248
paclitaxel,Vorinostat,HCT116,-1.593720937577549
Vorinostat,Erlotinib,OV90,3.3899996482015826
vinblastine,Erlotinib,NCIH2122,7.66334596528203
Sunitinib,geldanamycin,VCAP,2.60625970962018
vinblastine,Sorafenib,SW-620,5.006519903780723
vinblastine,Dasatinib,SKMEL30,-58.5527340809363
Erlotinib,geldanamycin,MDAMB436,3.776985072333982
Lapatinib,Sorafenib,HCT116,2.4866177573815964
paclitaxel,Sunitinib,MDAMB436,-0.6920482116816997
Dasatinib,Sorafenib,LOVO,2.1747311895065486
metformin,Dasatinib,HCT116,-13.14009076535719
Dasatinib,Sorafenib,NCI-H460,2.745769909533195
Erlotinib,Sorafenib,RPMI7951,-10.626155896203898
Sunitinib,geldanamycin,SW837,0.0548896546292299
metformin,Lapatinib,UACC62,-69.1366966634013
Sunitinib,Lapatinib,SW837,14.8508222506114
metformin,geldanamycin,A2058,-28.3488859938485
geldanamycin,Sorafenib,NCIH2122,0.6884341878779402
Lapatinib,Dasatinib,SKMES1,12.566471603210276
vinblastine,Erlotinib,SW-620,-5.472376660417956
vinblastine,Lapatinib,NCIH2122,-2.1691769605730515
Dasatinib,geldanamycin,RPMI7951,-0.3887710448227697
Sunitinib,Lapatinib,OVCAR3,9.1356503291117
vinblastine,Erlotinib,OVCAR3,4.93167956005568
paclitaxel,geldanamycin,NCIH1650,2.713132201978397
vinblastine,Erlotinib,HCT116,9.090654061652296
Lapatinib,Erlotinib,SW837,1.741670982094262
Vorinostat,Lapatinib,NCIH23,-5.89266438028177
Vorinostat,Erlotinib,HCT116,-1.130678948105339
metformin,Sorafenib,A2058,-46.587141393021525
Sunitinib,Lapatinib,T-47D,4.366245372711767
paclitaxel,geldanamycin,SKMES1,2.858782897786812
Vorinostat,Sunitinib,LOVO,2.53362859007723
paclitaxel,Vorinostat,SKMES1,-1.7943154401891548
Dasatinib,geldanamycin,NCIH23,-0.6435038581465955
vinblastine,Sorafenib,SKMEL30,5.99108205682079
vinblastine,Sunitinib,NCI-H460,2.44728958086436
Vorinostat,Sunitinib,CAOV3,1.5718362711845366
metformin,Sunitinib,A375,-55.54568697318505
Lapatinib,Erlotinib,A375,-9.231606713935047
metformin,geldanamycin,T-47D,3.547124544521316
vinblastine,Lapatinib,SW-620,-73.5286754265322
Vorinostat,Dasatinib,RPMI7951,0.2047767843086013
Vorinostat,Lapatinib,NCI-H460,-10.398648228661925
metformin,Erlotinib,NCIH2122,-46.9980356488569
metformin,Vorinostat,HCT116,-62.9031214125763
geldanamycin,Sorafenib,VCAP,-10.35739215730591
Sunitinib,Erlotinib,SKMEL30,1.83593808226401
Erlotinib,Dasatinib,LOVO,7.827394642815597
vinblastine,geldanamycin,LOVO,-9.742168339465294
vinblastine,Sorafenib,NCIH23,-0.29408409265346
paclitaxel,Dasatinib,SW-620,-5.653435188749545
metformin,Sunitinib,HT144,-14.57002364123529
Sunitinib,Sorafenib,RPMI7951,-18.1797235112709
paclitaxel,Sorafenib,MDAMB436,-5.45440876641342
Lapatinib,Dasatinib,NCIH1650,8.596988309863011
Vorinostat,Lapatinib,T-47D,-5.493763326806099
Lapatinib,Sorafenib,MDAMB436,-8.393586343504198
Sunitinib,Dasatinib,HT144,-3.963646539183849
Vorinostat,Erlotinib,A2780,9.625121597198186
paclitaxel,Sorafenib,RPMI7951,-6.18357684414468
Erlotinib,Sorafenib,HCT116,-3.41466344580097
Vorinostat,Sunitinib,RKO,-4.03025121975644
vinblastine,Sunitinib,SW837,-2.66483863280114
geldanamycin,Sorafenib,A2780,-0.190891674386513
Sunitinib,Lapatinib,SK-OV-3,16.1850033157246
Vorinostat,Sorafenib,SW837,-7.910003358009165
Vorinostat,Sunitinib,UACC62,-2.07861348348741
Sunitinib,Erlotinib,SKMES1,12.331931266595111
paclitaxel,Erlotinib,RPMI7951,0.8825935384285006
paclitaxel,geldanamycin,NCIH23,-2.1789667599796294
vinblastine,Sorafenib,SW837,3.0307168501552093
Sunitinib,Lapatinib,CAOV3,14.8229623836697
Sunitinib,geldanamycin,A2058,6.795393661635613
vinblastine,Erlotinib,LOVO,5.16750826555368
metformin,Dasatinib,A375,-57.144820014625296
Vorinostat,Lapatinib,UACC62,6.167862854629888
paclitaxel,geldanamycin,NCI-H460,-2.698758931910008
Vorinostat,Sunitinib,A2058,1.289294757415069
Erlotinib,Dasatinib,OVCAR3,13.9692836454661
metformin,geldanamycin,NCIH1650,-38.6438610292767
vinblastine,Sunitinib,SKMEL30,-3.119647295186995
Vorinostat,geldanamycin,UACC62,-6.745372906074374
paclitaxel,Erlotinib,NCIH23,-2.7468186065138984
