SpNotation,cell_line_name,Attention,SignalingPath
sp37,MDA-MB-468,0.5582877693499999,Sphingolipid signaling pathway
sp7,MDA-MB-468,0.442089600075,Calcium signaling pathway
sp24,MDA-MB-468,0.4277829766666667,NOD-like receptor signaling pathway
sp46,MDA-MB-468,0.35027684934,cGMP-PKG signaling pathway
sp16,NCI-H23,1.0,Hedgehog signaling pathway
sp37,NCI-H23,1.0,Sphingolipid signaling pathway
sp46,NCI-H23,1.0,cGMP-PKG signaling pathway
sp24,NCI-H23,0.5185792635,NOD-like receptor signaling pathway
sp7,NCI-H23,0.448438810225,Calcium signaling pathway
sp16,NCI-H460,1.0,Hedgehog signaling pathway
sp7,NCI-H460,0.4602190083549999,Calcium signaling pathway
sp24,NCI-H460,0.4006389112666666,NOD-like receptor signaling pathway
sp37,NCI-H460,0.3802406467333333,Sphingolipid signaling pathway
sp5,NCI-H460,0.358002872,B cell receptor signaling pathway
sp32,NCI-H522,0.34556613,RIG-I-like receptor signaling pathway
sp5,NCI-H522,0.342111748,B cell receptor signaling pathway
sp2,NCI-H522,0.2565346227230151,AMPK signaling pathway
sp44,NCI-H522,0.2338758994838461,Wnt signaling pathway
sp38,NCI-H522,0.1268011620999999,T cell receptor signaling pathway
sp16,OVCAR-3,1.0,Hedgehog signaling pathway
sp37,OVCAR-3,0.51954008845,Sphingolipid signaling pathway
sp7,OVCAR-3,0.447853536125,Calcium signaling pathway
sp24,OVCAR-3,0.4007759991999999,NOD-like receptor signaling pathway
sp46,OVCAR-3,0.35132131747,cGMP-PKG signaling pathway
sp16,OVCAR-4,1.0,Hedgehog signaling pathway
sp7,OVCAR-4,0.441324302175,Calcium signaling pathway
sp24,OVCAR-4,0.4054710786,NOD-like receptor signaling pathway
sp37,OVCAR-4,0.4042206264999999,Sphingolipid signaling pathway
sp46,OVCAR-4,0.3512874242,cGMP-PKG signaling pathway
sp37,OVCAR-8,1.0,Sphingolipid signaling pathway
sp16,OVCAR-8,1.0,Hedgehog signaling pathway
sp24,OVCAR-8,0.5260636347,NOD-like receptor signaling pathway
sp7,OVCAR-8,0.4630921035499999,Calcium signaling pathway
sp46,OVCAR-8,0.34865955038265,cGMP-PKG signaling pathway
sp16,PC-3,1.0,Hedgehog signaling pathway
sp24,PC-3,0.518090123,NOD-like receptor signaling pathway
sp37,PC-3,0.3909428216,Sphingolipid signaling pathway
sp7,PC-3,0.3465182928216666,Calcium signaling pathway
sp5,PC-3,0.3364370909999999,B cell receptor signaling pathway
sp16,RPMI-8226,1.0,Hedgehog signaling pathway
sp24,RPMI-8226,0.55590205415,NOD-like receptor signaling pathway
sp37,RPMI-8226,0.51968763525,Sphingolipid signaling pathway
sp7,RPMI-8226,0.4359672574,Calcium signaling pathway
sp46,RPMI-8226,0.3499381705833333,cGMP-PKG signaling pathway
sp2,SF-268,0.5047471567652775,AMPK signaling pathway
sp5,SF-268,0.331222133,B cell receptor signaling pathway
sp32,SF-268,0.288865661,RIG-I-like receptor signaling pathway
sp39,SF-268,0.2057290024,TGF-beta signaling pathway
sp38,SF-268,0.1167233628,T cell receptor signaling pathway
sp16,SF-295,1.0,Hedgehog signaling pathway
sp24,SF-295,0.53254490725,NOD-like receptor signaling pathway
sp7,SF-295,0.4356114674499999,Calcium signaling pathway
sp37,SF-295,0.4084132559333333,Sphingolipid signaling pathway
sp5,SF-295,0.382217343,B cell receptor signaling pathway
sp24,SF-539,1.0,NOD-like receptor signaling pathway
sp46,SF-539,1.0,cGMP-PKG signaling pathway
sp16,SF-539,1.0,Hedgehog signaling pathway
sp37,SF-539,0.51808973535,Sphingolipid signaling pathway
sp7,SF-539,0.4111689167,Calcium signaling pathway
sp46,SK-MEL-2,1.0,cGMP-PKG signaling pathway
sp16,SK-MEL-2,1.0,Hedgehog signaling pathway
sp37,SK-MEL-2,0.55549350675,Sphingolipid signaling pathway
sp24,SK-MEL-2,0.53762017775,NOD-like receptor signaling pathway
sp7,SK-MEL-2,0.5000000136666666,Calcium signaling pathway
sp37,SK-MEL-28,1.0,Sphingolipid signaling pathway
sp46,SK-MEL-28,1.0,cGMP-PKG signaling pathway
sp16,SK-MEL-28,1.0,Hedgehog signaling pathway
sp24,SK-MEL-28,0.5304467873,NOD-like receptor signaling pathway
sp2,SK-MEL-28,0.504361727581,AMPK signaling pathway
sp16,SK-MEL-5,1.0,Hedgehog signaling pathway
sp37,SK-MEL-5,0.5171354148999999,Sphingolipid signaling pathway
sp7,SK-MEL-5,0.4386043124,Calcium signaling pathway
sp24,SK-MEL-5,0.4032880284,NOD-like receptor signaling pathway
sp5,SK-MEL-5,0.356168347,B cell receptor signaling pathway
sp2,SK-OV-3,1.0,AMPK signaling pathway
sp32,SK-OV-3,0.3451760439999999,RIG-I-like receptor signaling pathway
sp5,SK-OV-3,0.3228390449999999,B cell receptor signaling pathway
sp38,SK-OV-3,0.103376497,T cell receptor signaling pathway
sp42,SK-OV-3,0.0647536362499999,Toll-like receptor signaling pathway
sp16,SNB-75,1.0,Hedgehog signaling pathway
sp37,SNB-75,0.5275152680999999,Sphingolipid signaling pathway
sp7,SNB-75,0.438754269775,Calcium signaling pathway
sp24,SNB-75,0.3967533009,NOD-like receptor signaling pathway
sp46,SNB-75,0.348094133547,cGMP-PKG signaling pathway
sp16,SR,1.0,Hedgehog signaling pathway
sp7,SR,0.4521753725749999,Calcium signaling pathway
sp24,SR,0.3964081100666666,NOD-like receptor signaling pathway
sp37,SR,0.3960113791666666,Sphingolipid signaling pathway
sp32,SR,0.2471380629999999,RIG-I-like receptor signaling pathway
sp37,SW-620,1.0,Sphingolipid signaling pathway
sp16,SW-620,1.0,Hedgehog signaling pathway
sp24,SW-620,0.5246014394,NOD-like receptor signaling pathway
sp7,SW-620,0.5000000096666667,Calcium signaling pathway
sp5,SW-620,0.3838796479999999,B cell receptor signaling pathway
sp16,T-47D,1.0,Hedgehog signaling pathway
sp37,T-47D,0.52609639335,Sphingolipid signaling pathway
sp24,T-47D,0.3994499755666666,NOD-like receptor signaling pathway
sp7,T-47D,0.3525299986999999,Calcium signaling pathway
sp46,T-47D,0.3492916244333333,cGMP-PKG signaling pathway
sp37,U251,1.0,Sphingolipid signaling pathway
sp16,U251,1.0,Hedgehog signaling pathway
sp24,U251,0.52694802665,NOD-like receptor signaling pathway
sp7,U251,0.43006148625,Calcium signaling pathway
sp5,U251,0.380948218,B cell receptor signaling pathway
sp16,UACC-257,1.0,Hedgehog signaling pathway
sp37,UACC-257,0.5667955525999999,Sphingolipid signaling pathway
sp24,UACC-257,0.51904382285,NOD-like receptor signaling pathway
sp2,UACC-257,0.50456354345665,AMPK signaling pathway
sp7,UACC-257,0.5000000099999999,Calcium signaling pathway
sp16,UACC-62,1.0,Hedgehog signaling pathway
sp37,UACC-62,0.51689237965,Sphingolipid signaling pathway
sp2,UACC-62,0.504576874067,AMPK signaling pathway
sp7,UACC-62,0.443571312425,Calcium signaling pathway
sp24,UACC-62,0.4263804139,NOD-like receptor signaling pathway
sp2,UO-31,1.0,AMPK signaling pathway
sp5,UO-31,0.395851709,B cell receptor signaling pathway
sp32,UO-31,0.3874973069999999,RIG-I-like receptor signaling pathway
sp19,UO-31,0.2053050237699999,IL-17 signaling pathway
sp38,UO-31,0.1306083192,T cell receptor signaling pathway
