Drug,Target
Antithymocyte immunoglobulin (rabbit),ITGB3
Becaplermin,PDGFRA
Octreotide,SSTR5
Octreotide,SSTR2
"Interferon Alfa-2b, Recombinant",IFNAR2
"Interferon Alfa-2b, Recombinant",IFNAR1
Oxytocin,OXTR
Oxytocin,OXT
Natalizumab,ITGA4
Natalizumab,ICAM1
Daclizumab,IL2RB
Bevacizumab,VEGFA
Pyridoxal Phosphate,PYGL
Pyridoxal Phosphate,PYGB
Pyridoxal Phosphate,PYGM
Pyruvic acid,PDHB
Pyruvic acid,PKM
L-Phenylalanine,TH
Biotin,ACACA
Choline,PLD2
Choline,PLD1
L-Arginine,NOS3
Vitamin C,EGLN2
Vitamin C,EGLN3
Spermine,CASR
Spermine,ADRB1
Spermine,ADRB2
Adenosine monophosphate,CREB1
Adenosine monophosphate,PIM1
Adenosine monophosphate,PDE4B
Adenosine monophosphate,PYGL
Adenosine monophosphate,PRKAB1
Adenosine monophosphate,PDE4D
Adenosine monophosphate,PRKAA1
Adenosine monophosphate,PRKAB2
Adenosine monophosphate,ADCY1
Adenosine monophosphate,ACSL1
Adenosine monophosphate,FBP1
Alpha-Linolenic Acid,FADS2
Alpha-Linolenic Acid,SLC8A1
Alpha-Linolenic Acid,PPARA
Alpha-Linolenic Acid,PPARD
Alpha-Linolenic Acid,PPARG
Alpha-Linolenic Acid,RXRA
L-Tyrosine,TH
Glutamic Acid,GRM1
Glutamic Acid,GRM4
Glutamic Acid,GRM8
Glutamic Acid,GRIN2D
Glutamic Acid,GRIN3B
Glutamic Acid,GRIN1
Glutamic Acid,GRIN2A
Glutamic Acid,GRIN2B
Glutamic Acid,GRIN2C
Glutamic Acid,GRIN3A
Glutamic Acid,GRIA1
Glutamic Acid,GRIA2
Glutamic Acid,GRIA4
Phosphatidyl serine,PRKCA
Glycine,GRIN2A
Glycine,GRIN2C
Glycine,GRIN3B
Dihomo-gamma-linolenic acid,PTGS2
L-Citrulline,NOS1
L-Citrulline,NOS3
NADH,LDHAL6A
NADH,LDHA
NADH,LDHC
NADH,LDHB
NADH,EHHADH
NADH,HMGCR
NADH,ME1
NADH,GAPDH
NADH,PDHB
NADH,HMOX1
NADH,CYP17A1
Icosapent,PTGS2
Icosapent,PPARG
Icosapent,PPARD
Icosapent,ACSL3
Icosapent,SLC8A1
Icosapent,PPARA
Vitamin E,PRKCB
Vitamin E,PRKCA
Vitamin E,PPP2CB
Vitamin E,PPP2CA
ATP,ABL2
ATP,PRKAA1
ATP,ACSL1
ATP,AKT1
ATP,APAF1
ATP,ACVR1B
ATP,ACVR1
ATP,SLC25A4
ATP,ABL1
ATP,ADCY1
ATP,CFTR
ATP,PIK3CA
ATP,CSNK2B
L-Proline,PPIF
Pravastatin,HMGCR
Valsartan,AGTR1
Baclofen,GABBR1
Baclofen,GABBR2
Amphetamine,ADRA1A
Amphetamine,ADRA1B
Amphetamine,ADRA1D
Amphetamine,ADRA2A
Amphetamine,ADRA2B
Amphetamine,ADRA2C
Amphetamine,ADRB1
Amphetamine,ADRB2
Amphetamine,DRD2
Pentagastrin,CCKBR
Cevimeline,CHRM3
Cevimeline,CHRM1
Esmolol,ADRB1
Tramadol,OPRD1
Tramadol,GRIN3A
Tramadol,CHRM3
Tramadol,CHRM1
Betaxolol,ADRB1
Betaxolol,ADRB2
Troglitazone,PPARG
Troglitazone,SERPINE1
Troglitazone,PPARD
Troglitazone,PPARA
Caffeine,ADORA2A
Caffeine,PDE4B
Caffeine,RYR1
Caffeine,PDE1B
Caffeine,PDE1C
Caffeine,PDE10A
Caffeine,PDE4A
Caffeine,PDE4B
Caffeine,PDE4C
Caffeine,PDE4D
Caffeine,PDE3A
Caffeine,PDE3B
Caffeine,PIK3CD
Caffeine,PIK3CA
Caffeine,ITPR1
Caffeine,ITPR2
Caffeine,ITPR3
Caffeine,ATM
Succinylcholine,CHRM1
Succinylcholine,CHRM3
Dofetilide,KCNJ12
Reserpine,BIRC5
Trospium,CHRM1
Adapalene,RXRG
Adapalene,RXRB
Adapalene,RARA
Adapalene,RXRA
Adapalene,PTGS2
Midodrine,ADRA1A
Midodrine,ADRA1B
Midodrine,ADRA1D
Citalopram,HRH1
Citalopram,ADRA1A
Citalopram,CHRM1
Eletriptan,HTR1B
Eletriptan,HTR1F
Eletriptan,HTR1A
Eletriptan,HTR1E
Eletriptan,HTR7
Bethanidine,ADRA2A
Bethanidine,ADRA2B
Bethanidine,ADRA2C
Bethanidine,ADRB1
Bethanidine,ADRB2
Oxyphenonium,CHRM1
Isoetarine,ADRB1
Isoetarine,ADRB2
Lovastatin,HMGCR
Lovastatin,HDAC2
Enflurane,GRIA1
Aminosalicylic Acid,PTGS2
Aminosalicylic Acid,CHUK
Aminosalicylic Acid,PLA2G2E
Milrinone,PDE3A
Butabarbital,GRIA2
Butalbital,GRIA2
Cladribine,RRM2
Cladribine,RRM2B
Mesalazine,PTGS2
Mesalazine,PPARG
Mesalazine,CHUK
Mesalazine,IKBKB
Benzatropine,CHRM1
Benzatropine,HRH1
Ziprasidone,DRD2
Ziprasidone,HTR2A
Ziprasidone,DRD1
Ziprasidone,DRD5
Ziprasidone,HTR1A
Ziprasidone,HTR1B
Ziprasidone,HTR1E
Ziprasidone,HTR6
Ziprasidone,HTR7
Ziprasidone,HRH1
Ziprasidone,ADRA1A
Ziprasidone,ADRA1B
Ziprasidone,ADRA2A
Ziprasidone,ADRA2B
Ziprasidone,ADRA2C
Ziprasidone,CHRM1
Ziprasidone,CHRM3
Methysergide,HTR2A
Methysergide,HTR1A
Methysergide,HTR7
Methysergide,HTR1B
Methysergide,HTR1F
Methysergide,HTR1E
Cabergoline,DRD2
Cabergoline,HTR2A
Cabergoline,ADRA2B
Cabergoline,ADRA2A
Cabergoline,HTR1A
Cabergoline,ADRA2C
Cabergoline,DRD5
Cabergoline,DRD1
Cabergoline,HTR1B
Cabergoline,HTR7
Cabergoline,ADRA1A
Cabergoline,ADRA1B
Cabergoline,ADRA1D
Cabergoline,ADRB1
Cabergoline,ADRB2
Cabergoline,DRD1
Cabergoline,DRD5
Diethylstilbestrol,ESR1
Diethylstilbestrol,ESR2
Diethylstilbestrol,NCOA2
Anagrelide,PDE3A
Metoprolol,ADRB1
Metoprolol,ADRB2
Ropinirole,DRD2
Ropinirole,HTR1A
Ropinirole,DRD1
Ropinirole,DRD5
Ropinirole,HTR1B
Ropinirole,HTR2A
Ropinirole,ADRA2A
Ropinirole,ADRA2B
Ropinirole,ADRA2C
Chlorotrianisene,ESR1
Isradipine,CACNA1C
Isradipine,CACNA2D1
Isradipine,CACNB2
Isradipine,CACNA2D2
Isradipine,CACNA1D
Betazole,HRH2
Olmesartan,AGTR1
Theophylline,ADORA2A
Theophylline,ADORA2B
Theophylline,PDE4B
Theophylline,PDE4A
Theophylline,PDE3A
Theophylline,HDAC2
Liothyronine,THRA
Liothyronine,THRB
Disopyramide,CHRM1
Disopyramide,CHRM3
Lidocaine,EGFR
Clemastine,HRH1
Conjugated estrogens,ESR1
Atomoxetine,GRIN1
Atomoxetine,GRIN2A
Atomoxetine,GRIN2B
Atomoxetine,GRIN2C
Atomoxetine,GRIN2D
Atomoxetine,GRIN3A
Atomoxetine,GRIN3B
Etomidate,ADRA2B
Etonogestrel,PGR
Etonogestrel,ESR1
Morphine,OPRD1
Bupivacaine,PTGER1
Dapiprazole,ADRA1A
Dapiprazole,ADRA1D
Dapiprazole,ADRA1B
Desogestrel,PGR
Desogestrel,ESR1
Talbutal,GRIA2
Bexarotene,RXRA
Bexarotene,RXRB
Bexarotene,RXRG
Ibutilide,CACNA1C
Ibutilide,CACNB1
Ibutilide,CACNA2D1
Ibutilide,CACNG1
Pentobarbital,GRIA2
Pentobarbital,GRIN1
Pentobarbital,GRIN2A
Pentobarbital,GRIN2B
Pentobarbital,GRIN2C
Pentobarbital,GRIN2D
Pentobarbital,GRIN3A
Pentobarbital,GRIN3B
Valproic Acid,HDAC2
Valproic Acid,PPARA
Valproic Acid,PPARD
Valproic Acid,PPARG
Zolmitriptan,HTR1B
Zolmitriptan,HTR1F
Zolmitriptan,HTR1A
Acetaminophen,PTGS2
Gefitinib,EGFR
Codeine,OPRD1
Dihydroergotamine,HTR1B
Dihydroergotamine,ADRA2A
Amitriptyline,HTR2A
Amitriptyline,HTR1A
Amitriptyline,OPRD1
Amitriptyline,NTRK1
Amitriptyline,NTRK2
Amitriptyline,ADRA1A
Amitriptyline,ADRA1D
Amitriptyline,ADRA2A
Amitriptyline,HRH1
Amitriptyline,CHRM1
Amitriptyline,CHRM3
Amitriptyline,HRH2
Amitriptyline,ADRA1B
Amitriptyline,HTR7
Amitriptyline,HTR1B
Amitriptyline,HTR6
Amitriptyline,ADRB1
Amitriptyline,ADRB2
Nitroprusside,NPR1
Hydromorphone,OPRD1
Indomethacin,PTGS2
Indomethacin,PPARG
Indomethacin,PPARA
Metformin,PRKAB1
Ipratropium,CHRM1
Ipratropium,CHRM3
Methadone,GRIN3A
Methadone,OPRD1
Olanzapine,HTR2A
Olanzapine,DRD2
Olanzapine,DRD1
Olanzapine,DRD5
Olanzapine,HTR1A
Olanzapine,HTR1B
Olanzapine,HTR1E
Olanzapine,HTR6
Olanzapine,HTR7
Olanzapine,HRH1
Olanzapine,ADRA1A
Olanzapine,ADRA1B
Olanzapine,ADRA2A
Olanzapine,ADRA2B
Olanzapine,ADRA2C
Olanzapine,CHRM1
Olanzapine,CHRM3
Olanzapine,HTR5A
Olanzapine,DRD1
Olanzapine,DRD5
Olanzapine,HRH2
Olanzapine,ADRB1
Olanzapine,ADRB2
Atenolol,ADRB1
Atenolol,ADRB2
Pimecrolimus,MTOR
Metixene,CHRM1
Metixene,CHRM3
Cetirizine,HRH1
Terfenadine,HRH1
Terfenadine,CHRM3
Terfenadine,CHRM1
Diltiazem,CACNG1
Alfuzosin,ADRA1A
Alfuzosin,ADRA1B
Alfuzosin,ADRA1D
Megestrol acetate,PGR
Methylergometrine,DRD1
Buclizine,HRH1
Buclizine,CHRM1
Chlorzoxazone,KCNMA1
Mefloquine,ADORA2A
Sapropterin,NOS3
Sapropterin,TH
Clozapine,DRD2
Clozapine,HTR2A
Clozapine,DRD1
Clozapine,HTR1A
Clozapine,HTR1B
Clozapine,HTR1E
Clozapine,HTR6
Clozapine,HTR7
Clozapine,HRH1
Clozapine,ADRA1A
Clozapine,ADRA1B
Clozapine,ADRA2A
Clozapine,ADRA2B
Clozapine,ADRA2C
Clozapine,CHRM1
Clozapine,CHRM3
Sucralfate,FGF2
Doxylamine,HRH1
Doxylamine,CHRM1
Levonorgestrel,PGR
Levonorgestrel,ESR1
Norepinephrine,ADRA1A
Norepinephrine,ADRA1B
Norepinephrine,ADRA1D
Norepinephrine,ADRA2A
Norepinephrine,ADRA2B
Norepinephrine,ADRA2C
Norepinephrine,ADRB1
Norepinephrine,ADRB2
Mirtazapine,HTR2A
Mirtazapine,ADRA2A
Mirtazapine,HRH1
Mirtazapine,ADRA2C
Mirtazapine,HTR7
Mirtazapine,ADRA1A
Mirtazapine,ADRA1B
Mirtazapine,ADRA1D
Mirtazapine,DRD2
Mirtazapine,DRD1
Mirtazapine,DRD5
Mirtazapine,ADRA1A
Mirtazapine,ADRB1
Mirtazapine,ADRB2
Thiethylperazine,DRD2
Thiethylperazine,DRD1
Timolol,ADRB1
Timolol,ADRB2
Treprostinil,PPARD
Trihexyphenidyl,CHRM1
Trihexyphenidyl,CHRM3
Dydrogesterone,PGR
Amlodipine,CACNA1C
Amlodipine,CACNA2D1
Amlodipine,CACNB2
Amlodipine,CACNA1D
Amlodipine,CACNA2D3
Oxyphencyclimine,CHRM3
Oxyphencyclimine,CHRM1
Procyclidine,CHRM1
Procyclidine,CHRM3
Phenylephrine,ADRA1A
Phenylephrine,ADRA1B
Phenylephrine,ADRA1D
Digoxin,ATP1A1
Sulpiride,DRD2
Ethopropazine,CHRM1
Ethopropazine,GRIN3A
Nimodipine,CACNA1C
Nimodipine,CACNA1D
Nimodipine,CACNB1
Nimodipine,CACNB2
Nimodipine,CACNB3
Nimodipine,CACNB4
Progesterone,PGR
Progesterone,ESR1
Progesterone,CYP17A1
Phenylpropanolamine,DRD1
Phenylpropanolamine,ADRB1
Phenylpropanolamine,ADRB2
Phenylpropanolamine,ADRA2A
Phenylpropanolamine,ADRA2B
Phenylpropanolamine,ADRA2C
Sorafenib,BRAF
Sorafenib,RAF1
Sorafenib,FLT4
Sorafenib,KDR
Sorafenib,FLT3
Sorafenib,KIT
Sorafenib,FGFR1
Sorafenib,RET
Sorafenib,FLT1
Nisoldipine,CACNA1C
Nisoldipine,CACNA2D1
Nisoldipine,CACNB2
Nisoldipine,CACNA1D
Ceruletide,CCKAR
Dexbrompheniramine,HRH1
Loxapine,DRD2
Loxapine,DRD1
Loxapine,HTR2A
Loxapine,HTR1A
Loxapine,HTR1B
Loxapine,HTR1E
Loxapine,HTR5A
Loxapine,HTR6
Loxapine,HTR7
Loxapine,ADRA1A
Loxapine,ADRA1B
Loxapine,ADRA2A
Loxapine,ADRA2B
Loxapine,ADRA2C
Loxapine,ADRB1
Loxapine,CHRM1
Loxapine,CHRM3
Loxapine,DRD1
Loxapine,DRD5
Loxapine,DRD5
Loxapine,HRH1
Loxapine,HRH2
Remoxipride,DRD2
Remoxipride,HTR2A
Carbachol,CHRM1
Carbachol,CHRM3
Rosiglitazone,PPARG
Rosiglitazone,PPARA
Rosiglitazone,PPARD
Rosiglitazone,RXRA
Rosiglitazone,RXRB
Rosiglitazone,RXRG
Pramipexole,DRD2
Pramipexole,ADRA2B
Pramipexole,HTR1A
Pramipexole,ADRA2A
Pramipexole,HTR1B
Pramipexole,HTR2A
Pramipexole,ADRA2C
Pramipexole,DRD1
Pramipexole,DRD5
Ampicillin,TEK
Secobarbital,GRIA2
Secobarbital,GRIN1
Secobarbital,GRIN2A
Secobarbital,GRIN2B
Secobarbital,GRIN2C
Secobarbital,GRIN2D
Secobarbital,GRIN3A
Secobarbital,GRIN3B
Promazine,DRD2
Promazine,HTR2A
Promazine,DRD1
Promazine,CHRM3
Promazine,CHRM1
Promazine,ADRA1B
Promazine,ADRA1A
Promazine,HRH1
Promazine,ADRA1D
Spironolactone,PGR
Spironolactone,CACNG1
Spironolactone,CACNA2D1
Spironolactone,CACNA2D2
Spironolactone,CACNA2D3
Spironolactone,CACNA1C
Spironolactone,CACNA1D
Spironolactone,CACNB1
Spironolactone,CACNB2
Spironolactone,CACNB3
Spironolactone,CACNB4
Hyoscyamine,CHRM1
Hyoscyamine,CHRM3
Triprolidine,HRH1
Carboprost Tromethamine,PTGER1
Lindane,PGR
Lindane,ESR1
Prochlorperazine,DRD2
Cyproheptadine,HRH1
Cyproheptadine,HTR2A
Cyproheptadine,CHRM1
Cyproheptadine,CHRM3
Cyproheptadine,HTR7
Bendroflumethiazide,KCNMA1
Cerivastatin,HMGCR
Lansoprazole,MAPT
Dipivefrin,ADRA1A
Dipivefrin,ADRA2A
Dipivefrin,ADRB2
Droperidol,DRD2
Droperidol,ADRA1A
Levothyroxine,THRA
Levothyroxine,THRB
Framycetin,CXCR4
Pethidine,GRIN1
Pethidine,GRIN2B
Pethidine,GRIN2A
Pethidine,GRIN2C
Pethidine,GRIN2D
Pethidine,CHRM1
Pethidine,CHRM3
Loratadine,HRH1
Prazosin,ADRA1A
Prazosin,ADRA1B
Prazosin,ADRA1D
Prazosin,ADRA2A
Prazosin,ADRA2B
Imipramine,HTR2A
Imipramine,HRH1
Imipramine,ADRA1A
Imipramine,ADRA1D
Imipramine,CHRM1
Imipramine,CHRM3
Imipramine,ADRA1B
Imipramine,HTR7
Imipramine,DRD1
Imipramine,DRD5
Imipramine,DRD2
Imipramine,HTR1A
Imipramine,HTR6
Acitretin,RXRA
Acitretin,RARA
Acitretin,RXRB
Acitretin,RXRG
Nabumetone,PTGS2
Methylscopolamine bromide,CHRM1
Methylscopolamine bromide,CHRM3
Metharbital,GRIA2
Ketorolac,PTGS2
Tenoxicam,PTGS2
Dronabinol,CNR1
Chlorpromazine,DRD2
Chlorpromazine,DRD1
Chlorpromazine,HTR1A
Chlorpromazine,HTR2A
Chlorpromazine,ADRA1A
Chlorpromazine,ADRA1B
Chlorpromazine,HRH1
Chlorpromazine,DRD1
Chlorpromazine,DRD5
Chlorpromazine,DRD5
Chlorpromazine,HTR2A
Chlorpromazine,ADRA1A
Chlorpromazine,ADRA1B
Chlorpromazine,ADRA1D
Chlorpromazine,ADRA2A
Chlorpromazine,ADRA2B
Chlorpromazine,ADRA2C
Chlorpromazine,CHRM1
Chlorpromazine,CHRM3
Chlorpromazine,CALM1
Chlorpromazine,CALM2
Chlorpromazine,CALM3
Chlorpromazine,HTR6
Chlorpromazine,HTR7
Lenalidomide,PTGS2
Raloxifene,ESR1
Raloxifene,ESR2
Raloxifene,TFF1
Celecoxib,PTGS2
Celecoxib,PDPK1
Gallamine Triethiodide,CHRM1
Brimonidine,ADRA2A
Brimonidine,ADRA2B
Brimonidine,ADRA2C
Nabilone,CNR1
Sotalol,ADRB1
Sotalol,ADRB2
Buspirone,HTR1A
Buspirone,DRD2
Darifenacin,CHRM3
Darifenacin,CHRM1
Oxycodone,OPRD1
Tolmetin,PTGS2
Cimetidine,HRH2
Haloperidol,DRD2
Haloperidol,DRD1
Haloperidol,GRIN2B
Haloperidol,HTR2A
Tridihexethyl,CHRM3
Tridihexethyl,CHRM1
Triflupromazine,DRD1
Triflupromazine,DRD2
Triflupromazine,CHRM1
Dextrothyroxine,THRA
Dextrothyroxine,THRB
Acetyldigitoxin,ATP1A1
Aminocaproic Acid,PLAT
Dextromethorphan,GRIN3A
Dextromethorphan,OPRD1
Dextromethorphan,RAC1
Cisplatin,TF
Anisotropine Methylbromide,CHRM1
Anisotropine Methylbromide,CHRM3
Carteolol,ADRB2
Carteolol,ADRB1
Alitretinoin,RARA
Alitretinoin,RXRA
Alitretinoin,RXRB
Alitretinoin,RXRG
Alitretinoin,IGFBP3
Cinchocaine,CALM1
Cinchocaine,CALM2
Cinchocaine,CALM3
Lercanidipine,CACNG1
Erlotinib,EGFR
Rofecoxib,PTGS2
Guanidine,DLG4
Toremifene,ESR1
Nortriptyline,HTR2A
Nortriptyline,HTR1A
Nortriptyline,HRH1
Nortriptyline,ADRA1A
Nortriptyline,ADRA1D
Nortriptyline,CHRM1
Nortriptyline,CHRM3
Nortriptyline,HTR6
Nortriptyline,ADRA1B
Nortriptyline,ADRA2A
Nortriptyline,ADRA2B
Nortriptyline,ADRA2C
Nortriptyline,ADRB1
Nortriptyline,ADRB2
Nortriptyline,DRD2
Amoxapine,DRD2
Amoxapine,DRD1
Amoxapine,ADRA2A
Amoxapine,ADRA1A
Amoxapine,CHRM1
Amoxapine,HTR2A
Amoxapine,HTR6
Amoxapine,HTR7
Amoxapine,HRH1
Amoxapine,ADRA1A
Amoxapine,ADRA1B
Amoxapine,ADRA1D
Amoxapine,CHRM1
Amoxapine,CHRM3
Amoxapine,HTR1A
Amoxapine,HTR1B
Amoxapine,ADRA2A
Amoxapine,ADRA2B
Amoxapine,ADRA2C
Piroxicam,PTGS2
Lamotrigine,ADORA2A
Lamotrigine,ADRA1A
Lamotrigine,ADRA2A
Lamotrigine,ADRB1
Lamotrigine,DRD1
Lamotrigine,DRD5
Lamotrigine,DRD2
Lamotrigine,HRH1
Lamotrigine,CHRM1
Lamotrigine,CHRM3
Lamotrigine,HTR2A
Hydroxyzine,HRH1
Bosentan,EDNRB
Cinnarizine,HRH1
Cinnarizine,CACNA1C
Cinnarizine,CACNA1D
Cinnarizine,DRD2
Cinnarizine,DRD1
Cinnarizine,DRD5
Cinnarizine,CHRM1
Cinnarizine,CHRM3
Vinblastine,JUN
Propranolol,ADRB1
Propranolol,ADRB2
Propranolol,HTR1A
Propranolol,HTR1B
Atropine,CHRM1
Atropine,CHRM3
Fenoprofen,PTGS2
Fenoprofen,PPARA
Fenoprofen,PPARG
Fenfluramine,HTR2A
Clonidine,ADRA2A
Clonidine,ADRA2B
Clonidine,ADRA2C
Clonidine,ADRA1A
Clonidine,ADRA1B
Clonidine,ADRA1D
Valdecoxib,PTGS2
L-Carnitine,CPT2
L-Carnitine,CPT1A
Nizatidine,HRH2
Diclofenac,PTGS2
Fluticasone propionate,PGR
Lisuride,DRD2
Lisuride,DRD1
Lisuride,DRD5
Lisuride,HTR1A
Lisuride,HTR2A
Lisuride,HTR1B
Lisuride,ADRA2A
Lisuride,ADRA2B
Lisuride,ADRA2C
Lisuride,HTR7
Doxazosin,ADRA1A
Doxazosin,ADRA1B
Doxazosin,ADRA1D
Amiloride,PLAU
Labetalol,ADRB1
Labetalol,ADRB2
Labetalol,ADRA1A
Labetalol,ADRA1B
Labetalol,ADRA1D
Thiopental,GRIA2
Thiopental,CHRM3
Medroxyprogesterone acetate,PGR
Medroxyprogesterone acetate,ESR1
Cisapride,HTR2A
Sulindac,PTGS2
Sulindac,MAPK3
Sulindac,PPARD
Cyclothiazide,FXYD2
Cyclothiazide,SFRP4
Chloroquine,TNF
Chloroquine,TLR9
Metaraminol,ADRA1A
Butorphanol,OPRD1
Bisoprolol,ADRB1
Bisoprolol,ADRB2
Rifabutin,HSP90AA1
Rifabutin,HSP90B1
Imatinib,KIT
Imatinib,NTRK1
Imatinib,CSF1R
Imatinib,PDGFRA
Imatinib,ABL1
Nicardipine,CACNA1C
Nicardipine,CACNB2
Nicardipine,CACNA1D
Nicardipine,CACNA2D1
Nicardipine,PDE1B
Nicardipine,ADRA1A
Nicardipine,ADRA1B
Nicardipine,ADRA1D
Nicardipine,CHRM1
Nicardipine,CHRM3
Nicardipine,CALM1
Nicardipine,CALM2
Nicardipine,CALM3
Fluphenazine,DRD2
Fluphenazine,DRD1
Fluphenazine,CALM1
Fluphenazine,CALM2
Fluphenazine,CALM3
Fluphenazine,HTR2A
Testosterone,ESR1
Guanabenz,ADRA2A
Guanabenz,ADRA2B
Alendronic acid,ATP6V1A
Dexmedetomidine,ADRA2A
Clofibrate,PPARA
Astemizole,HRH1
Astemizole,MAPT
Adenosine,ADORA2A
Adenosine,ADORA2B
Simvastatin,HMGCR
Simvastatin,ITGB2
Dextropropoxyphene,OPRD1
Mitotane,ESR1
Mitotane,PGR
Dyphylline,PDE4B
Dyphylline,PDE4A
Dyphylline,PDE4C
Dyphylline,PDE4D
Dyphylline,ADORA2A
Magnesium sulfate,CACNG1
Magnesium sulfate,CACNA2D1
Magnesium sulfate,CACNA1C
Magnesium sulfate,CACNB1
Magnesium sulfate,CACNB2
Estrone,ESR1
Estrone,ESR2
Trazodone,HTR2A
Trazodone,HTR1A
Trazodone,HRH1
Trazodone,ADRA1A
Trazodone,ADRA2A
Acamprosate,GRIN1
Acamprosate,GRIN2A
Acamprosate,GRIN2B
Acamprosate,GRIN2C
Acamprosate,GRIN2D
Acamprosate,GRIN3A
Acamprosate,GRIN3B
Verapamil,CACNA1C
Verapamil,CACNA1D
Verapamil,CACNB1
Verapamil,CACNB2
Verapamil,CACNB3
Verapamil,CACNB4
Verapamil,ADRA1A
Verapamil,ADRA1B
Verapamil,ADRA1D
Epinephrine,ADRA1A
Epinephrine,ADRA1B
Epinephrine,ADRB1
Epinephrine,ADRB2
Epinephrine,ADRA2A
Epinephrine,ADRA2B
Epinephrine,ADRA1D
Epinephrine,ADRA2C
Epinephrine,TNF
Sumatriptan,HTR1B
Sumatriptan,HTR1F
Sumatriptan,HTR1A
Pirenzepine,CHRM1
Aprepitant,TACR1
Tamoxifen,ESR1
Tamoxifen,ESR2
Tamoxifen,PRKCA
Tamoxifen,PRKCB
Tamoxifen,PRKCD
Tamoxifen,PRKCE
Tamoxifen,PRKCG
Tamoxifen,PRKCI
Tamoxifen,PRKCQ
Tamoxifen,PRKCZ
Isoflurophate,TF
Losartan,AGTR1
Thioridazine,DRD2
Thioridazine,DRD1
Thioridazine,ADRA1A
Thioridazine,ADRA1B
Thioridazine,HTR2A
Pentosan Polysulfate,FGF2
Pentosan Polysulfate,FGF1
Pentosan Polysulfate,FGF4
Phentolamine,ADRA2A
Phentolamine,ADRA1A
Phentolamine,ADRA1B
Phentolamine,ADRA1D
Ergotamine,HTR1B
Ergotamine,HTR2A
Ergotamine,DRD2
Ergotamine,ADRA1A
Ergotamine,ADRA1B
Ergotamine,ADRA1D
Ergotamine,ADRA2A
Ergotamine,ADRA2B
Ergotamine,DRD1
Ergotamine,DRD5
Ergotamine,HTR1A
Ergotamine,HTR1F
Tizanidine,ADRA2A
Tizanidine,ADRA2B
Tizanidine,ADRA2C
Nicergoline,ADRA1A
Naltrexone,OPRD1
Tamsulosin,ADRA1A
Tamsulosin,ADRA1D
Tamsulosin,ADRA1B
Sufentanil,OPRD1
Flurbiprofen,PTGS2
Apomorphine,DRD2
Apomorphine,ADRA2C
Apomorphine,ADRA2B
Apomorphine,DRD5
Apomorphine,HTR1A
Apomorphine,HTR2A
Apomorphine,ADRA2A
Apomorphine,DRD1
Apomorphine,HTR1B
Paroxetine,HTR2A
Paroxetine,CHRM1
Paroxetine,CHRM3
Nedocromil,HSP90AA1
Norethisterone,PGR
Azatadine,HRH1
Clodronic Acid,SLC25A4
Procaine,GRIN3A
