locus_id,A498,A549/ATCC,ACHN,BT-549,CAKI-1,DU-145,EKVX,HCT-116,HCT-15,HOP-62,HOP-92,HS 578T,IGROV1,K-562,KM12,LOX IMVI,MCF7,MDA-MB-231/ATCC,MDA-MB-468,NCI-H23,NCI-H460,NCI-H522,OVCAR-3,OVCAR-4,OVCAR-8,PC-3,RPMI-8226,SF-268,SF-295,SF-539,SK-MEL-2,SK-MEL-28,SK-MEL-5,SK-OV-3,SNB-75,SR,SW-620,T-47D,U251,UACC-257,UACC-62,UO-31
ACSL6,0.75374,0.06665,0.09708,0.09512,0.12664,0.04025,0.0,0.61828,0.38247,0.0,0.02171,0.01403,0.03753,0.00078,0.87878,0.86279,0.07737,0.2235,0.25921,0.36572,0.13607,0.0,0.01962,0.01937,0.79153,0.17217,0.05385,0.13612,0.04606,0.18738,0.02552,0.63452,0.0245,0.08357,0.32095,0.92453,0.04617,0.05455,0.33743,0.76205,0.09782,0.0
ACTA2,1.0,0.9286,1.0,0.00289,0.7143,0.7778,0.0,1.0,0.8333,0.0,1.0,0.0667,1.0,0.0,0.0,1.0,0.875,1.0,1.0,0.8,0.8333,1.0,1.0,0.9286,0.8889,1.0,0.0,1.0,1.0,0.0,0.7727,1.0,0.25,1.0,0.0,0.8438,1.0,0.75,0.9167,0.03179,0.5,0.0
ACTB,0.00143,0.02459,0.0,0.0042,0.0,0.0,0.0,0.0,0.00298,0.0,0.0,0.03888,0.0,0.0,0.0,0.0,0.0,0.02015,0.00461,0.0,0.0,0.0,0.0,0.0,0.0,0.01852,0.0162,0.0,0.0,0.0,0.00285,0.0229,0.0027,0.00633,0.0,0.0,0.00249,0.00825,0.0,0.0,0.01117,0.0
ACTG1,0.15507,0.01758,0.0042,0.01196,0.0288,0.00428,0.0,0.00067,0.0233,0.0,0.0,0.03143,0.01715,0.3733,0.00014,0.00346,0.00264,0.00803,0.00727,0.00303,0.00088,0.00352,0.00351,0.01153,0.00516,0.00562,0.00532,0.0,0.01568,0.0,0.02915,0.00861,0.00753,0.07371,0.00014,0.00643,0.00238,0.00439,0.00814,0.00639,0.00811,0.0
ACVR1,0.08883,0.04571,0.00393,0.01109,0.00937,0.00445,0.0,0.075,0.00855,0.0,0.0,0.0397,0.0,0.00138,0.0008,0.00527,0.0,0.01416,0.00185,0.00543,0.0024,0.00382,0.00183,0.0,0.00862,0.00216,0.0,0.0,0.0,0.0,0.00028,0.00097,0.00307,0.00222,0.0,0.03225,0.00661,0.01181,0.04999,0.01604,0.08511,0.0
ACVR1B,0.1455,0.1697,0.15943,0.01579,0.20839,0.11597,0.0,0.40822,0.06335,0.0,0.13035,0.079,0.00521,0.00453,0.0,0.23557,0.05643,0.00316,0.03646,0.04117,0.13898,0.01905,0.1257,0.30334,0.03579,0.03225,0.67576,0.1741,0.17115,0.6297,0.83543,0.38083,0.03514,0.1082,0.64815,0.84328,0.0291,0.02177,0.50781,0.28333,0.42442,0.0
ACVR1C,0.68585,0.21321,0.21813,0.87266,0.73261,0.04974,0.0,0.88601,0.77934,0.0,0.21585,0.24136,0.51107,0.2289,0.75,0.78549,0.09696,0.68677,0.84221,0.10714,0.0786,0.05504,0.02206,0.06799,0.8343,0.06355,0.04889,0.60412,0.21195,0.97908,0.3609,0.82845,0.39224,0.17498,0.64862,0.86596,0.90665,0.05556,0.78178,0.34048,0.86982,0.0
ACVR2A,0.05207,0.03128,0.00813,0.0,0.0584,0.03082,0.0,0.0,0.11312,0.0,0.0,0.02614,0.0,0.0,0.0,0.0032,0.0,0.0,0.0,0.0098,0.00187,0.13818,0.0,0.0,0.0,0.0,0.0155,0.0,0.01398,0.0,0.00172,0.0,0.01732,0.0,0.0,0.05851,0.0,0.0,0.0,0.0,0.0,0.0
ACVR2B,0.03028,0.02474,0.0027,0.01471,0.0,0.00342,0.0,0.02549,0.0,0.0,0.0,0.02844,0.00198,0.0,0.0003,0.00985,0.00409,0.01921,0.00294,0.00118,0.00812,0.00778,0.00384,0.00266,0.0,0.00906,0.02081,0.0,0.01873,0.0,0.02055,0.01841,0.0035,0.00355,0.0,0.18569,0.01282,0.00462,0.00929,0.0,0.00448,0.0
ADAM17,0.02173,0.0,0.00414,0.00442,0.0619,0.002,0.0,0.00482,0.0132,0.0,0.00903,0.01869,0.0,0.0,0.0,0.00099,0.0,0.00336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00483,0.01111,0.0,0.0,0.0,0.01997,0.0,0.0,0.00664,0.0239,0.0,0.01066,0.0,0.0,0.0
ADCY1,0.78724,0.79568,0.74774,0.41249,0.6353,0.72849,0.0,0.92037,0.89433,0.0,0.8263,0.17699,0.41359,0.10349,1.0,0.68201,0.34043,0.77529,0.54054,0.79414,0.94,0.60845,0.32773,0.58432,0.96523,0.592,0.26086,0.14454,0.42245,0.41832,0.79521,0.88638,0.56989,0.6667,0.42373,0.90334,0.93881,0.62502,0.41331,1.0,0.11534,0.0
ADCY2,0.78448,0.11736,0.37716,0.46002,0.26509,0.69869,0.0,0.91489,0.80706,0.0,0.70275,0.17813,0.45954,0.2505,0.9987,0.84142,0.74837,0.70718,0.5351,0.40165,0.26332,0.05312,0.27826,0.44362,0.72152,0.5,0.24092,0.25929,0.22663,0.55663,0.74332,0.68698,0.40147,0.27679,0.284,0.89087,0.43215,0.29085,0.44988,0.3251,0.30602,0.0
ADCY3,0.0466,0.02355,0.00424,0.02165,0.00167,0.00376,0.0,0.00121,0.0,0.0,0.0,0.01655,0.0,0.00209,0.00045,0.00532,0.00273,0.01618,0.00804,0.00196,0.01142,0.00459,0.00201,0.00196,0.00511,0.00273,0.00517,0.03001,0.03696,0.00035,0.00107,0.0,0.00106,0.01243,0.00072,0.04046,0.0119,0.00194,0.0,0.00742,0.0,0.0
ADCY4,0.93787,0.85707,0.92981,0.8021,0.94118,0.96875,0.0,0.94844,0.87604,0.0,0.72225,0.72113,0.84093,0.0,1.0,0.49094,0.95063,0.78815,0.88022,0.98309,0.88901,0.6843,0.8219,0.90281,0.87243,0.84109,0.77434,0.64487,0.72222,0.92098,0.26348,0.64628,0.38155,0.89285,0.73462,0.90104,0.8623,0.80953,0.80814,0.46139,0.9394,0.0
ADCY5,0.70446,0.08859,0.3301,0.08025,0.29996,0.49153,0.0,0.89362,0.80779,0.0,0.36859,0.28176,0.07082,0.33333,0.99863,0.85571,0.00364,0.87323,0.19003,0.13142,0.20558,0.00278,0.02449,0.05225,0.84455,0.36071,0.33705,0.17552,0.08052,0.07293,0.09409,0.31902,0.01339,0.11453,0.07516,0.91179,0.17978,0.09035,0.14097,0.06394,0.1295,0.0
ADCY6,0.05133,0.03067,0.0,0.00209,0.0,0.00513,0.0,0.00425,0.01138,0.0,0.04432,0.0046,0.0,0.0,0.00083,0.10741,0.00615,0.01636,0.00399,0.00704,0.00691,0.0,0.00507,0.0,0.0,0.00328,0.01101,0.00538,0.0,0.0,0.00867,0.0,0.0,0.00525,0.0,0.82605,0.00093,0.0,0.00515,0.0,0.02011,0.0
ADCY7,0.0235,0.9298,0.0,0.902,0.1591,0.4091,0.0,0.0,0.1837,0.0,0.0,0.0385,0.1754,0.0,0.0,0.0,0.96,0.0312,0.8197,0.9747,0.0261,1.0,0.0256,0.0,0.0,1.0,0.0067,0.0,0.7732,0.0,0.0521,0.9,0.3562,0.0127,0.9615,0.0,0.0549,0.963,0.7923,0.224,0.1176,0.0
ADCY8,0.47957,0.46923,0.18,0.28139,0.05662,0.7056,0.0,0.97447,0.81667,0.0,0.76762,0.01377,0.45323,0.0,1.0,0.51604,0.56998,0.41139,0.47761,0.78229,0.62809,0.03448,0.18061,0.22541,0.7748,0.42328,0.03806,0.03793,0.01527,0.08275,0.15793,0.44894,0.02338,0.44026,0.0491,0.73296,0.70477,0.03597,0.08772,0.00244,0.0594,0.0
ADCY9,0.00492,0.0147,0.01103,0.0036,0.00174,0.00465,0.0,0.00622,0.00359,0.0,0.0,0.03409,0.00477,0.00065,0.00039,0.00584,0.0,0.00252,0.0016,0.00139,0.0,0.00161,0.00906,0.00105,0.0,0.00329,0.02023,0.00135,0.00913,0.0,0.00433,0.00192,0.00253,0.01269,0.0,0.41777,0.00168,0.0,0.00088,0.0,0.0,0.0
ADCYAP1,0.91305,0.34897,0.52538,0.26952,0.50405,0.8096,0.0,0.96869,0.87263,0.0,0.80239,0.66598,0.73029,0.20805,1.0,0.91525,0.86341,0.87183,0.95579,0.6062,0.90948,0.02604,0.75311,0.77904,0.89905,0.70097,0.2581,0.31302,0.11882,0.82331,0.0272,0.61796,0.05477,0.85869,0.64951,0.88524,0.87491,0.63959,0.84544,0.56321,0.69971,0.0
ADCYAP1R1,0.45725,0.04827,0.17901,0.04975,0.19498,0.27418,0.0,0.78327,0.32243,0.0,0.36733,0.00691,0.01403,0.0,0.7435,0.17971,0.57494,0.50583,0.14354,0.14524,0.22378,0.00938,0.26971,0.07232,0.81808,0.03179,0.05294,0.06191,0.01462,0.05105,0.01743,0.28455,0.00937,0.03537,0.05065,0.67512,0.59847,0.17143,0.04585,0.0,0.0567,0.0
ADIPOR1,0.01342,0.00814,0.0,0.01312,0.0,0.00258,0.0,0.00388,0.01128,0.0,0.0,0.02776,0.0,0.00091,0.00025,0.0015,0.00127,0.00072,0.0084,0.00097,0.0,0.01708,0.01389,0.00417,0.00266,0.00261,0.00053,0.00025,0.00844,0.0,0.00926,0.0,0.00608,0.00087,0.0,0.00341,0.0024,0.00202,0.00313,0.0,0.01228,0.0
ADIPOR2,0.01448,0.0026,0.0,0.0,0.0,0.00281,0.0,0.0,0.0,0.0,0.0,0.00884,0.0,0.0,0.0,0.00243,0.00211,0.0,0.0,0.0,0.00148,0.0,0.0,0.0,0.0,0.0,0.00392,0.0,0.0,0.0,0.00575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADORA2A,0.94179,0.91746,0.97175,0.95648,1.0,0.72034,0.0,0.96963,0.76663,0.0,0.95725,0.86715,0.85905,0.0,0.64262,0.62402,0.71975,0.87639,0.93965,0.91098,0.7788,0.64861,0.93993,0.89057,0.917,0.75197,0.06935,0.69158,0.61808,0.89672,0.08228,0.52544,0.28,0.83602,0.71457,0.88057,0.8238,0.68474,0.87067,0.65745,0.88204,0.0
ADORA2B,0.73809,0.409,0.16962,0.30065,0.46484,0.4518,0.0,0.57031,0.52534,0.0,0.44993,0.4761,0.05289,0.0,0.0,0.60449,0.62341,0.64195,0.63816,0.15491,0.51027,0.14181,0.14462,0.19649,0.65116,0.47666,0.06883,0.20455,0.25158,0.29944,0.57781,0.62584,0.37889,0.55608,0.48713,0.86568,0.54222,0.48951,0.45638,0.59341,0.73746,0.0
ADRA1A,0.5926,0.0779,0.281,0.34906,0.09375,0.32117,0.0,0.91337,0.90336,0.0,0.63475,0.0939,0.55712,0.0009,0.84537,0.83739,0.7156,0.76023,0.4213,0.32607,0.53625,0.0,0.34636,0.21497,0.81754,0.18979,0.03165,0.20466,0.29902,0.2074,0.06979,0.35422,0.0,0.50315,0.11265,0.89484,0.89067,0.4534,0.49795,0.0,0.12659,0.0
ADRA1B,0.0205,0.01941,0.00384,0.0193,0.00775,0.09218,0.0,0.28074,0.89526,0.0,0.0,0.04984,0.00217,0.00188,0.29232,0.014,0.04531,0.02809,0.18147,0.00293,0.03221,0.00154,0.00327,0.00714,0.01175,0.02038,0.08995,0.0,0.00317,0.0,0.01679,0.35531,0.04358,0.00794,0.0,0.91273,0.0114,0.03113,0.00568,0.00681,0.07563,0.0
ADRA1D,0.81568,0.03558,0.05393,0.04822,0.296,0.1269,0.0,0.77113,0.90757,0.0,0.71042,0.06917,0.4658,0.38525,0.8608,0.7608,0.69819,0.71455,0.289,0.03815,0.05503,0.00173,0.01649,0.04614,0.90222,0.30705,0.5832,0.11433,0.033,0.03366,0.19388,0.1149,0.01513,0.02933,0.01522,0.94151,0.07584,0.62539,0.0155,0.03369,0.04759,0.0
ADRA2A,0.09184,0.02852,0.00322,0.02603,0.0,0.02445,0.0,0.39602,0.01579,0.0,0.24527,0.04569,0.00646,0.00224,0.18506,0.06789,0.00446,0.06759,0.00355,0.01311,0.00341,0.00794,0.00216,0.0,0.07523,0.0376,0.0094,0.0069,0.01445,0.00649,0.00503,0.08945,0.00332,0.02778,0.00088,0.86253,0.0109,0.0,0.00388,0.0,0.00304,0.0
ADRA2B,0.1819,0.05091,0.04362,0.04235,0.05769,0.05913,0.0,0.11459,0.09133,0.0,0.2649,0.1657,0.04383,0.00099,0.17012,0.44558,0.08939,0.0589,0.12655,0.04516,0.04133,0.05322,0.01399,0.02067,0.17932,0.09375,0.04075,0.22586,0.08951,0.08421,0.09407,0.25652,0.07308,0.02718,0.0513,0.95223,0.11334,0.03723,0.22789,0.11696,0.18326,0.0
ADRA2C,0.02632,0.03373,0.00226,0.0644,0.12091,0.00591,0.0,0.00262,0.00358,0.0,0.94942,0.08898,0.00166,0.0,0.93243,0.30152,0.00948,0.1523,0.27406,0.00698,0.00951,0.03487,0.0,0.00709,0.00334,0.04127,0.19473,0.28612,0.02839,0.00354,0.20217,0.50192,0.00253,0.00644,0.00614,0.89407,0.00766,0.01012,0.58759,0.0,0.0,0.0
ADRB1,0.33511,0.0,0.0,0.00824,0.0,0.0255,0.0,0.02489,0.02952,0.0,0.07634,0.07864,0.01693,0.00272,0.00059,0.89935,0.01351,0.0606,0.00847,0.0046,0.0,0.0,0.00818,0.00476,0.0067,0.07006,0.08042,0.01423,0.00747,0.01949,0.04408,0.55299,0.01629,0.01909,0.00453,0.92387,0.00449,0.00909,0.0091,0.0,0.18056,0.0
ADRB2,0.03121,0.024,0.01313,0.01348,0.01198,0.0,0.0,0.00543,0.46993,0.0,0.0,0.15232,0.0347,0.0,0.0,0.12426,0.01127,0.00192,0.02198,0.01392,0.01149,0.01061,0.0081,0.00112,0.00345,0.00367,0.00563,0.0,0.01914,0.0,0.00628,0.04327,0.06514,0.00578,0.0,0.42299,0.00413,0.0096,0.00494,0.0,0.04581,0.0
AGAP2,0.26983,0.01424,0.02721,0.01369,0.0,0.03922,0.0,0.83749,0.62649,0.0,0.18143,0.1154,0.01187,0.22222,0.0,0.10341,0.16241,0.33872,0.03938,0.0,0.07769,0.0,0.02307,0.0113,0.51262,0.01841,0.86955,0.0,0.01265,0.03311,0.01753,0.14544,0.02439,0.18001,0.0125,0.90702,0.4553,0.04688,0.0,0.0,0.03225,0.0
AGTR1,0.32705,0.03657,0.02262,0.0,0.0,0.58008,0.0,0.8393,0.5625,0.0,0.45962,0.01192,0.0128,0.0,0.0,0.0,0.09344,0.66668,0.12268,0.0491,0.0,0.0,0.0,0.07405,0.0,0.02275,0.0,0.0,0.0143,0.0,0.02777,0.09185,0.0,0.004,0.0,0.72535,0.7757,0.04117,0.08919,0.0,0.0606,0.0
AIFM2,0.00837,0.02068,0.00394,0.01194,0.0,0.0,0.0,0.0,0.03452,0.0,0.00339,0.0,0.89646,0.2826,0.52232,0.53966,0.09016,0.03174,0.08478,0.36983,0.00261,0.29161,0.02908,0.88916,0.00957,0.10682,0.04374,0.04619,0.37078,0.0,0.01752,0.74345,0.0,0.09638,0.0,0.1551,0.025,0.93427,0.01842,0.0,0.0,0.0
AIM2,1.0,1.0,0.6,0.75,0.0526,0.8889,0.0,1.0,0.0,0.0,0.0,0.0,0.1667,0.0,0.0,0.0,0.5,0.0,0.0,0.5882,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4667,1.0,0.0,0.75,0.25,0.0,0.0,0.6667,1.0,1.0,0.0
AJUBA,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKT1,0.09048,0.12274,0.00899,0.05442,0.06315,0.02415,0.0,0.01099,0.06493,0.0,0.0,0.067,0.03423,0.0,0.0,0.00855,0.08458,0.0,0.14286,0.03523,0.02186,0.0,0.04867,0.00512,0.04871,0.05706,0.00905,0.03513,0.0536,0.07909,0.01163,0.0,0.0,0.03703,0.13156,0.0,0.02624,0.02577,0.05036,0.01647,0.06514,0.0
AKT1S1,0.03086,1.0,0.0,0.01027,0.0,1.0,0.0,0.00437,0.0116,0.0,0.0,0.04747,0.00239,0.0,0.0,0.00129,1.0,0.00823,0.00854,0.00419,0.00237,0.81482,0.0,0.0004,0.00478,0.00389,0.00618,0.02077,0.00989,0.0,0.00254,0.02232,0.00095,0.007,1.0,0.00858,0.6667,0.0,0.00618,0.0,0.00422,0.0
AKT2,0.89773,0.8769,0.98685,0.95238,1.0,0.89409,0.0,0.97439,0.98649,0.0,0.93333,0.83548,0.84816,0.00235,1.0,0.9518,0.92092,1.0,0.96127,0.9313,1.0,0.86955,0.9252,0.86674,0.93421,1.0,0.9592,0.71484,0.80265,1.0,0.76315,0.8125,0.71155,1.0,1.0,0.97341,0.94831,0.95236,0.9169,0.86875,0.89616,0.0
ALDOA,0.01714,0.05044,0.0,0.0138,0.00741,0.00652,0.0,0.03967,0.1195,0.0,0.0,0.21187,0.0,0.0,0.00162,0.3086,0.1928,0.075,0.74419,0.0,0.04547,0.33258,0.69972,0.82597,0.0,0.13011,0.00785,0.71083,0.14043,0.0,0.06973,0.07313,0.20497,0.34981,0.33076,0.0,0.01575,0.1,0.20372,0.0,0.26011,0.0
ALDOC,0.07039,0.13634,0.76035,0.00548,0.08485,0.81866,0.0,0.00397,0.61487,0.0,0.0,0.9796,0.04446,0.0,0.0,0.04685,0.0,0.55995,0.85714,0.33774,0.0079,0.70534,0.4444,0.02112,0.88142,0.00433,0.00685,0.54036,0.34386,0.66183,0.85026,0.73018,0.31143,0.30799,0.45965,0.00658,0.02165,0.01082,0.82072,0.03224,0.06502,0.0
AMH,0.9607,0.83941,0.9828,0.83944,1.0,0.90226,0.0,0.99114,0.79935,0.0,0.97872,0.9855,0.80119,1.0,0.86345,0.95058,0.89795,0.97805,0.98733,0.83222,0.90592,0.71882,0.86766,0.96268,0.83655,0.54717,0.77668,0.71591,0.87848,0.73756,0.9366,0.85106,0.42391,1.0,0.8562,0.99319,0.9875,0.94118,0.96262,0.97047,0.80197,0.0
ANAPC5,0.0,0.0,0.0139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01785,0.0,0.0,0.04347,0.0,0.0,0.0,0.01315,0.01615,0.0,0.00875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANGPTL4,0.0,0.2143,0.0,0.0,0.0,0.0238,0.0,0.0,0.17143,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.09523,0.49999,0.07694,0.4,0.0,0.0,0.30435,0.0353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0556,0.0,0.0,0.15385,0.0,0.0,0.0,0.0,0.0
AOX1,0.62254,0.35206,0.50071,0.28512,0.62365,0.0837,0.0,0.80966,0.89621,0.0,0.03136,0.90109,0.8772,0.0,0.0,0.9789,0.10937,0.58335,0.9055,0.02396,0.71786,0.00595,0.04547,0.07318,0.91138,0.86077,0.43658,0.27908,0.64046,0.8159,0.68742,0.48419,0.66297,0.51748,1.0,0.77647,0.58712,0.61539,0.93182,0.34977,0.88284,0.0
APAF1,0.03028,0.01775,0.00147,0.00559,0.00518,0.0,0.0,0.00041,0.0,0.0,0.0,0.00833,0.0028,0.0,0.00016,0.00102,0.00145,0.00295,0.00298,0.00146,0.00894,0.0,0.00124,0.00097,0.00265,0.00047,0.01409,0.00042,0.00344,0.0,0.00149,0.0,0.00026,0.0,0.0,0.00204,0.00064,0.00685,0.00482,0.0,0.00085,0.0
APBB1IP,0.0,0.77776,1.0,0.17778,0.05128,0.14286,0.0,0.0,0.0,0.0,0.37666,0.22223,0.47761,0.0,0.0,0.0,0.0,0.0,0.41667,0.0,0.15384,0.0,0.0,0.13332,0.0,0.0,0.01905,0.75,0.27273,1.0,0.0,0.45453,0.13542,0.0484,0.57425,0.59527,0.1111,0.03488,0.85,0.04687,0.66667,0.0
APC,0.06731,0.10253,0.00565,0.03833,0.04891,0.15337,0.0,0.22857,0.08201,0.0,0.00337,0.06723,0.03333,0.0,0.5,0.05602,0.05882,0.14062,0.05494,0.0,0.0,0.34271,0.05303,0.06757,0.18812,0.0,0.04403,0.0,0.02682,0.0812,0.01746,0.01887,0.0,0.0,0.09171,0.16667,0.21053,0.0,0.01439,0.07177,0.0,0.0
APC2,0.89166,0.6544,0.44961,0.32997,0.36862,0.31303,0.0,0.80329,0.65146,0.0,0.11391,0.40115,0.48171,1.0,1.0,0.35674,0.85531,0.7965,0.7,0.86588,0.57868,0.53345,0.33524,0.73705,0.94001,0.16581,0.38162,0.79435,0.37265,0.41827,0.51761,0.48016,0.58396,0.27747,0.44094,0.91228,0.60994,0.29731,0.7138,0.50487,0.74052,0.0
APH1B,0.01181,0.01021,0.0,0.01556,0.00905,0.02373,0.0,0.01181,0.01653,0.0,0.0,0.01317,0.0,0.00074,0.09284,0.00382,0.00772,0.01782,0.00461,0.0,0.00427,0.0,0.0,0.0,0.00937,0.0,0.0399,0.0,0.03351,0.0,0.0107,0.0,0.0,0.0,0.0,0.005,0.02632,0.03094,0.0097,0.0,0.01185,0.0
APOA1,1.0,0.92712,1.0,0.98387,0.78312,0.84903,0.0,0.962,0.92856,0.0,0.42785,0.80934,0.66023,0.0,0.9851,0.80982,0.70177,0.78425,0.85365,0.90306,0.73774,0.80493,0.66665,0.4625,0.92179,0.9205,0.36962,0.7451,0.69999,1.0,0.64839,0.52502,0.56386,0.66448,0.92188,0.48562,0.78571,0.56286,0.75559,0.88748,0.60716,0.0
AQP7,0.05026,0.04434,0.09523,0.0463,0.0,0.01982,0.0,0.0,0.04348,0.0,0.00848,0.26633,0.17297,0.0,0.00725,0.15515,0.04412,0.03448,0.05263,0.03845,0.0,0.08609,0.06943,0.28504,0.03652,0.03451,0.0,0.13331,0.04347,0.0,0.0305,0.22582,0.1818,0.08263,0.0615,0.02822,0.04579,0.0,0.08001,0.38271,0.0,0.0
ARAP3,0.68646,0.35421,0.48144,0.49811,0.42398,0.49195,0.0,0.32654,0.39069,0.0,0.25047,0.53903,0.23084,0.0132,0.91785,0.54115,0.47481,0.47127,0.49585,0.47248,0.41498,0.70251,0.48952,0.45896,0.16324,0.13401,0.2615,0.63194,0.25158,0.65772,0.34781,0.55761,0.38426,0.5439,0.43869,0.59338,0.38753,0.37843,0.41537,0.18177,0.83805,0.0
ARF1,0.01376,0.01293,0.00453,0.01169,0.0028,0.00547,0.0,0.00206,0.01125,0.0,8e-05,0.02674,0.0011,0.00122,0.0,0.00369,0.0,0.0125,0.00543,0.00221,0.00315,0.01579,0.01584,0.00253,0.00503,0.00601,0.00577,0.0284,0.00743,0.0,0.00159,0.01322,0.00163,0.00275,0.00101,0.00854,0.00917,0.00378,0.01874,0.00024,0.01278,0.0
