Drug	Target
Aldesleukin	IL2RA
Aldesleukin	IL2RG
Botulinum Toxin Type B	VAMP2
Botulinum Toxin Type B	VAMP1
Botulinum Toxin Type B	SYT2
Omalizumab	FCER1A
Omalizumab	MS4A2
Lutropin alfa	LHCGR
Lyme disease vaccine (recombinant OspA)	TLR2
Insulin Lispro	INSR
Insulin Lispro	IGF1R
Insulin Glargine	INSR
Insulin Glargine	IGF1R
Collagenase clostridium histolyticum	COL1A1
Collagenase clostridium histolyticum	COL2A1
Collagenase clostridium histolyticum	COL3A1
Collagenase clostridium histolyticum	COL1A2
Cetrorelix	GNRHR
Cetrorelix	LHCGR
Adalimumab	TNF
Adalimumab	FCGR3B
Adalimumab	C1R
Adalimumab	C1QA
Adalimumab	C1QB
Adalimumab	C1QC
Adalimumab	FCGR3A
Adalimumab	C1S
Adalimumab	FCGR1A
Adalimumab	FCGR2A
Adalimumab	FCGR2B
Adalimumab	FCGR2C
Somatotropin	GHR
Somatotropin	PRLR
Abciximab	ITGB3
Abciximab	ITGA2B
Abciximab	FCGR3B
Abciximab	C1R
Abciximab	C1QA
Abciximab	C1QB
Abciximab	C1QC
Abciximab	FCGR3A
Abciximab	C1S
Abciximab	FCGR1A
Abciximab	FCGR2A
Abciximab	FCGR2B
Abciximab	FCGR2C
Abciximab	VTN
Drotrecogin alfa	F8
Drotrecogin alfa	F5
Drotrecogin alfa	SERPINE1
Drotrecogin alfa	THBD
Drotrecogin alfa	PROS1
Drotrecogin alfa	CP
Drotrecogin alfa	F2
Drotrecogin alfa	PF4
Drotrecogin alfa	SERPINA5
Drotrecogin alfa	SERPINB6
Drotrecogin alfa	GGCX
Drotrecogin alfa	PROCR
Gemtuzumab ozogamicin	CD33
Gemtuzumab ozogamicin	FCGR3B
Gemtuzumab ozogamicin	C1R
Gemtuzumab ozogamicin	C1QA
Gemtuzumab ozogamicin	C1QB
Gemtuzumab ozogamicin	C1QC
Gemtuzumab ozogamicin	FCGR3A
Gemtuzumab ozogamicin	C1S
Gemtuzumab ozogamicin	FCGR1A
Gemtuzumab ozogamicin	FCGR2A
Gemtuzumab ozogamicin	FCGR2B
Gemtuzumab ozogamicin	FCGR2C
Alpha-1-proteinase inhibitor	ELANE
Interferon beta-1a	IFNAR1
Interferon beta-1a	IFNAR2
Pegademase bovine	GRB2
Eptifibatide	ITGB3
Infliximab	TNF
Follitropin	FSHR
Vasopressin	AVPR2
Vasopressin	AVPR1A
Vasopressin	AVPR1B
Interferon beta-1b	IFNAR1
Interferon beta-1b	IFNAR2
Interferon alfacon-1	IFNAR1
Interferon alfacon-1	IFNAR2
Hyaluronidase	TGFB1
Insulin Pork	INSR
Insulin Pork	IGF1R
Insulin Pork	IDE
Insulin Pork	HLA-DQA2
Insulin Pork	HLA-DQB1
Insulin Pork	RB1
Insulin Pork	CTSD
Insulin Pork	CPE
Insulin Pork	PCSK2
Insulin Pork	PCSK1
Insulin Pork	NOV
Insulin Pork	LRP2
Insulin Pork	IGFBP7
Insulin Pork	SYTL4
Trastuzumab	ERBB2
Trastuzumab	EGFR
Trastuzumab	C1R
Trastuzumab	C1QA
Trastuzumab	C1QB
Trastuzumab	C1QC
Trastuzumab	C1S
Trastuzumab	FCGR1A
Trastuzumab	FCGR2A
Trastuzumab	FCGR2B
Trastuzumab	FCGR2C
Trastuzumab	FCGR3B
Trastuzumab	FCGR3A
Rituximab	MS4A1
Rituximab	FCGR3B
Rituximab	C1R
Rituximab	C1QA
Rituximab	C1QB
Rituximab	C1QC
Rituximab	FCGR3A
Rituximab	C1S
Rituximab	FCGR1A
Rituximab	FCGR2A
Rituximab	FCGR2B
Rituximab	FCGR2C
Basiliximab	IL2RA
Basiliximab	IL2RB
Basiliximab	FCGR1A
Basiliximab	FCGR3A
Basiliximab	FCGR2A
Basiliximab	FCGR2B
Basiliximab	FCGR2C
Basiliximab	FCGR3B
Basiliximab	C1S
Basiliximab	C1R
Basiliximab	C1QA
Basiliximab	C1QB
Basiliximab	C1QC
Muromonab	CD3D
Muromonab	CD3E
Muromonab	CD3G
Muromonab	CD247
Muromonab	FCGR3B
Muromonab	C1R
Muromonab	C1QA
Muromonab	C1QB
Muromonab	C1QC
Muromonab	FCGR3A
Muromonab	C1S
Muromonab	FCGR1A
Muromonab	FCGR2A
Muromonab	FCGR2B
Muromonab	FCGR2C
Ibritumomab tiuxetan	MS4A1
Ibritumomab tiuxetan	FCGR3B
Ibritumomab tiuxetan	C1R
Ibritumomab tiuxetan	C1QA
Ibritumomab tiuxetan	C1QB
Ibritumomab tiuxetan	C1QC
Ibritumomab tiuxetan	FCGR3A
Ibritumomab tiuxetan	C1S
Ibritumomab tiuxetan	FCGR1A
Ibritumomab tiuxetan	FCGR2A
Ibritumomab tiuxetan	FCGR2B
Ibritumomab tiuxetan	FCGR2C
Tositumomab	MS4A1
Tositumomab	FCGR3B
Tositumomab	C1R
Tositumomab	C1QA
Tositumomab	C1QB
Tositumomab	C1QC
Tositumomab	FCGR3A
Tositumomab	FCGR1A
Tositumomab	FCGR2A
Tositumomab	FCGR2B
Tositumomab	FCGR2C
Pegvisomant	GHR
Botulinum Toxin Type A	SNAP25
Botulinum Toxin Type A	RHOB
Streptokinase	PLG
Streptokinase	F2R
Alemtuzumab	CD52
Alemtuzumab	FCGR3B
Alemtuzumab	C1R
Alemtuzumab	C1QA
Alemtuzumab	C1QB
Alemtuzumab	C1QC
Alemtuzumab	FCGR3A
Alemtuzumab	FCGR1A
Alemtuzumab	FCGR2A
Alemtuzumab	FCGR2B
Alemtuzumab	FCGR2C
Capromab pendetide	FOLH1
Cyclosporine	CAMLG
Cyclosporine	PPP3R2
Cyclosporine	PPIA
Cyclosporine	PPIF
Alefacept	CD2
Alefacept	C1R
Alefacept	C1QA
Alefacept	C1QB
Alefacept	C1QC
Alefacept	FCGR3A
Alefacept	FCGR1A
Alefacept	FCGR2A
Alefacept	FCGR2B
Alefacept	FCGR2C
Alefacept	FCGR3B
Felypressin	AVPR1A
Urofollitropin	FSHR
Efalizumab	ITGAL
Efalizumab	FCGR3B
Efalizumab	C1R
Efalizumab	C1QA
Efalizumab	C1QB
Efalizumab	C1QC
Efalizumab	FCGR3A
Efalizumab	FCGR1A
Efalizumab	FCGR2A
Efalizumab	FCGR2B
Efalizumab	FCGR2C
Choriogonadotropin alfa	LHCGR
Choriogonadotropin alfa	FSHR
Antithymocyte immunoglobulin (rabbit)	CD1A
Antithymocyte immunoglobulin (rabbit)	MR1
Antithymocyte immunoglobulin (rabbit)	ITGAL
Antithymocyte immunoglobulin (rabbit)	CD86
Antithymocyte immunoglobulin (rabbit)	FCGR2B
Antithymocyte immunoglobulin (rabbit)	CD4
Antithymocyte immunoglobulin (rabbit)	ITGB1
Antithymocyte immunoglobulin (rabbit)	ITGAV
Antithymocyte immunoglobulin (rabbit)	ITGB3
Filgrastim	CSF3R
Filgrastim	ELANE
Coagulation Factor IX (Recombinant)	F10
Coagulation Factor IX (Recombinant)	F11
Coagulation Factor IX (Recombinant)	F7
Coagulation Factor IX (Recombinant)	F8
Coagulation Factor IX (Recombinant)	F2
Coagulation Factor IX (Recombinant)	LRP1
Coagulation Factor IX (Recombinant)	GGCX
Becaplermin	PDGFRB
Becaplermin	PDGFRA
Becaplermin	A2M
Octreotide	SSTR1
Octreotide	SSTR5
Octreotide	SSTR2
Interferon Alfa-2b, Recombinant	IFNAR2
Interferon Alfa-2b, Recombinant	IFNAR1
Abarelix	GNRHR
Oxytocin	OXTR
Oxytocin	OXT
Natalizumab	ITGA4
Natalizumab	FCGR3B
Natalizumab	C1R
Natalizumab	C1QA
Natalizumab	C1QB
Natalizumab	C1QC
Natalizumab	FCGR3A
Natalizumab	FCGR1A
Natalizumab	FCGR2A
Natalizumab	FCGR2B
Natalizumab	FCGR2C
Natalizumab	ICAM1
Palivizumab	FCGR3B
Palivizumab	C1R
Palivizumab	C1QA
Palivizumab	C1QB
Palivizumab	C1QC
Palivizumab	FCGR3A
Palivizumab	FCGR1A
Palivizumab	FCGR2A
Palivizumab	FCGR2B
Palivizumab	FCGR2C
Daclizumab	IL2RA
Daclizumab	IL2RB
Daclizumab	FCGR3B
Daclizumab	C1R
Daclizumab	C1QA
Daclizumab	C1QB
Daclizumab	C1QC
Daclizumab	FCGR3A
Daclizumab	FCGR1A
Daclizumab	FCGR2A
Daclizumab	FCGR2B
Daclizumab	FCGR2C
Bevacizumab	VEGFA
Bevacizumab	FCGR3B
Bevacizumab	C1R
Bevacizumab	C1QA
Bevacizumab	C1QB
Bevacizumab	C1QC
Bevacizumab	FCGR3A
Bevacizumab	FCGR1A
Bevacizumab	FCGR2A
Bevacizumab	FCGR2B
Bevacizumab	FCGR2C
Technetium Tc-99m arcitumomab	CEACAM1
Pyridoxal Phosphate	AGXT2
Pyridoxal Phosphate	GAD1
Pyridoxal Phosphate	CBS
Pyridoxal Phosphate	CBSL
Pyridoxal Phosphate	KYNU
Pyridoxal Phosphate	SHMT1
Pyridoxal Phosphate	NFS1
Pyridoxal Phosphate	GOT1
Pyridoxal Phosphate	OAT
Pyridoxal Phosphate	ODC1
Pyridoxal Phosphate	AADAT
Pyridoxal Phosphate	ABAT
Pyridoxal Phosphate	PNPO
Pyridoxal Phosphate	SGPL1
Pyridoxal Phosphate	TAT
Pyridoxal Phosphate	KYAT1
Pyridoxal Phosphate	THNSL1
Pyridoxal Phosphate	PYGL
Pyridoxal Phosphate	SPTLC2
Pyridoxal Phosphate	CSAD
Pyridoxal Phosphate	HDC
Pyridoxal Phosphate	AZIN2
Pyridoxal Phosphate	SDS
Pyridoxal Phosphate	GCAT
Pyridoxal Phosphate	GLDC
Pyridoxal Phosphate	GPT
Pyridoxal Phosphate	PSAT1
Pyridoxal Phosphate	ALAS1
Pyridoxal Phosphate	AGXT
Pyridoxal Phosphate	PDXP
Pyridoxal Phosphate	SPTLC1
Pyridoxal Phosphate	CTH
Pyridoxal Phosphate	BCAT1
Pyridoxal Phosphate	BCAT2
Pyridoxal Phosphate	PLPBP
Pyridoxal Phosphate	FTCD
Pyridoxal Phosphate	GOT2
Pyridoxal Phosphate	PYGB
Pyridoxal Phosphate	PYGM
Pyridoxal Phosphate	DDC
Pyridoxal Phosphate	GAD1
Pyridoxal Phosphate	SCLY
Pyridoxal Phosphate	ALAS1
Pyridoxal Phosphate	GAD2
Pyridoxal Phosphate	PDXDC1
Pyridoxal Phosphate	LOC102724985
Pyridoxal Phosphate	KYAT3
Pyridoxal Phosphate	GADL1
Pyridoxal Phosphate	SCLY
Pyridoxal Phosphate	IGSF10
Pyridoxal Phosphate	PHYKPL
Pyridoxal Phosphate	GAD1
Pyridoxal Phosphate	SHMT2
Pyridoxal Phosphate	ALAS2
Pyridoxal Phosphate	GPT2
Pyridoxal Phosphate	MOCOS
Pyridoxal Phosphate	SDSL
Pyridoxal Phosphate	CSAD
Pyridoxal Phosphate	SRR
Pyridoxal Phosphate	SEPSECS
Pyridoxal Phosphate	SPTLC3
Cyanocobalamin	MTR
Cyanocobalamin	MUT
Cyanocobalamin	MTRR
Cyanocobalamin	MMAA
Cyanocobalamin	MMACHC
Cyanocobalamin	MTHFR
Tetrahydrofolic acid	MTHFD1
Tetrahydrofolic acid	MTHFD2
Tetrahydrofolic acid	AMT
Tetrahydrofolic acid	ALDH1L1
Tetrahydrofolic acid	MTR
Tetrahydrofolic acid	FTCD
Tetrahydrofolic acid	ATIC
Tetrahydrofolic acid	SHMT1
Tetrahydrofolic acid	SHMT2
Tetrahydrofolic acid	MTHFR
Tetrahydrofolic acid	MTFMT
Histidine	HDC
Histidine	HARS
Histidine	SLC38A3
Histidine	HAL
Ademetionine	GNMT
Ademetionine	AMD1
Ademetionine	MAT2A
Ademetionine	CBS
Ademetionine	CBSL
Ademetionine	MAT1A
Ademetionine	COMT
Ademetionine	CMTR1
Ademetionine	AS3MT
Pyruvic acid	SLC16A3
Pyruvic acid	SLC16A2
Pyruvic acid	AGXT2
Pyruvic acid	SLC16A5
Pyruvic acid	PKLR
Pyruvic acid	SLC16A6
Pyruvic acid	SLC16A7
Pyruvic acid	PDHB
Pyruvic acid	PKM
Pyruvic acid	ABAT
Pyruvic acid	SLC16A4
Pyruvic acid	SLC16A8
Pyruvic acid	SLC16A1
Pyruvic acid	PC
L-Phenylalanine	TAT
L-Phenylalanine	SLC7A8
L-Phenylalanine	FARSA
L-Phenylalanine	PAH
L-Phenylalanine	FARS2
L-Phenylalanine	FARSB
L-Phenylalanine	TH
Biotin	PCCB
Biotin	HLCS
Biotin	SLC5A6
Biotin	MCCC2
Biotin	ACACB
Biotin	MCCC1
Biotin	PC
Biotin	PCCA
Biotin	ACACA
Choline	PCYT1B
Choline	ACHE
Choline	PCYT1A
Choline	PLD2
Choline	BCHE
Choline	PLD1
Choline	PHOSPHO1
Choline	CHRNA7
Choline	CHRFAM7A
L-Lysine	SLC7A1
L-Lysine	SLC7A4
L-Lysine	SLC7A3
L-Lysine	SLC7A2
L-Lysine	KARS
L-Arginine	NOS3
L-Arginine	SLC7A3
L-Arginine	AZIN2
L-Arginine	ASL
L-Arginine	NOS2
L-Arginine	SLC7A1
L-Arginine	ARG2
L-Arginine	SLC7A4
L-Arginine	ASS1
Vitamin C	LCT
Vitamin C	PLOD2
Vitamin C	PHYH
Vitamin C	PLOD3
Vitamin C	BBOX1
Vitamin C	DBH
Vitamin C	PAM
Vitamin C	P4HA1
Vitamin C	P3H1
Vitamin C	OGFOD2
Vitamin C	ALKBH2
Vitamin C	P3H2
Vitamin C	P3H3
Vitamin C	OGFOD1
Vitamin C	EGLN2
Vitamin C	ALKBH3
Vitamin C	KDM5D
Vitamin C	EGLN1
Vitamin C	SLC23A1
Vitamin C	PLOD1
Vitamin C	EGLN3
Vitamin C	TMLHE
Vitamin C	P4HTM
Spermine	SMS
Spermine	SMOX
Spermine	ODC1
Spermine	CASR
Spermine	ADRB1
Spermine	ADRB2
L-Aspartic Acid	RNASE1
L-Aspartic Acid	LYZ
L-Aspartic Acid	SLC25A13
L-Aspartic Acid	GOT1
L-Aspartic Acid	ASPA
L-Aspartic Acid	ASNS
L-Aspartic Acid	ASS1
L-Aspartic Acid	ACY1
L-Aspartic Acid	GOT2
L-Aspartic Acid	DARS
L-Aspartic Acid	SLC25A12
L-Aspartic Acid	ASPH
L-Aspartic Acid	PAICS
L-Aspartic Acid	CAD
L-Aspartic Acid	ADSS
L-Aspartic Acid	SLC1A1
L-Aspartic Acid	ASS1
L-Aspartic Acid	DARS2
L-Aspartic Acid	ASRGL1
L-Aspartic Acid	ADSSL1
L-Aspartic Acid	ACY3
Ornithine	OAT
Ornithine	OTC
Ornithine	ARG1
Ornithine	OAZ1
Ornithine	SLC7A2
Ornithine	SLC25A2
Ornithine	SLC7A4
Ornithine	SLC7A1
Ornithine	ARG2
Ornithine	SLC25A15
Ornithine	SLC7A3
Ornithine	OAZ2
Ornithine	GATM
Ornithine	OAZ3
L-Glutamine	CTPS1
L-Glutamine	PPAT
L-Glutamine	GLUL
Adenosine monophosphate	CREB1
Adenosine monophosphate	PIM1
Adenosine monophosphate	PDE4B
Adenosine monophosphate	PYGL
Adenosine monophosphate	PRKAB1
Adenosine monophosphate	HINT1
Adenosine monophosphate	PDE4D
Adenosine monophosphate	ACSS1
Adenosine monophosphate	ACSS2
Adenosine monophosphate	PRKAA1
Adenosine monophosphate	PRKAB2
Adenosine monophosphate	ADCY1
Adenosine monophosphate	ACSL1
Adenosine monophosphate	FBP1
Adenosine monophosphate	ADK
Alpha-Linolenic Acid	FADS1
Alpha-Linolenic Acid	FADS2
Alpha-Linolenic Acid	SLC8A1
Alpha-Linolenic Acid	TRPV1
Alpha-Linolenic Acid	ELOVL4
Alpha-Linolenic Acid	PPARA
Alpha-Linolenic Acid	NR1H4
Alpha-Linolenic Acid	PPARD
Alpha-Linolenic Acid	PPARG
Alpha-Linolenic Acid	RXRA
Serine	CBS
Serine	CBSL
Serine	SDS
Serine	SRR
Serine	SPTLC2
Serine	SPTLC1
Serine	SARS
Serine	AGXT
Methionine	MTRR
Methionine	MTR
Methionine	METAP2
Methionine	BHMT
Methionine	BHMT2
L-Tyrosine	TH
L-Tyrosine	YARS2
L-Tyrosine	YARS
L-Tyrosine	TAT
Calcitriol	VDR
Calcitriol	HOXA10
Calcitriol	GC
Cystine	SLC7A11
Cystine	CTNS
Cystine	SLC7A9
Cystine	SLC3A1
Succinic acid	SDHC
Succinic acid	SUCNR1
Succinic acid	OXCT2
Succinic acid	TMLHE
Succinic acid	SUCLA2
Succinic acid	SLC25A10
Succinic acid	SDHA
Succinic acid	HSD17B6
Succinic acid	SLC13A3
Succinic acid	SLC13A2
Succinic acid	SLC13A1
Succinic acid	SUCLG2
Succinic acid	SDHD
Succinic acid	P4HA2
Succinic acid	PLOD3
Succinic acid	BBOX1
Succinic acid	P4HA1
Succinic acid	SDHB
Succinic acid	ALDH5A1
Succinic acid	SUCLG1
Succinic acid	OXCT1
Succinic acid	PLOD1
Succinic acid	ASPH
Succinic acid	P3H1
Succinic acid	P3H2
Succinic acid	P3H3
Riboflavin	RFK
Riboflavin	BLVRB
N-Acetylglucosamine	B4GALT3
N-Acetylglucosamine	B4GALT4
N-Acetylglucosamine	B4GALT2
N-Acetylglucosamine	NAGK
N-Acetylglucosamine	NAGPA
N-Acetylglucosamine	NAGLU
N-Acetylglucosamine	RENBP
N-Acetylglucosamine	B4GALT1
Glutamic Acid	GRM1
Glutamic Acid	GRM4
Glutamic Acid	GRIK4
Glutamic Acid	GRIK5
Glutamic Acid	GRM7
Glutamic Acid	GRM8
Glutamic Acid	SLC1A7
Glutamic Acid	OPLAH
Glutamic Acid	PFAS
Glutamic Acid	BCAT2
Glutamic Acid	GRIN2D
Glutamic Acid	GRID2
Glutamic Acid	GRIN3B
Glutamic Acid	GATB
Glutamic Acid	GLS
Glutamic Acid	GOT2
Glutamic Acid	EPRS
Glutamic Acid	ASNS
Glutamic Acid	GLUL
Glutamic Acid	GOT1
Glutamic Acid	TAT
Glutamic Acid	GPT
Glutamic Acid	GGCX
Glutamic Acid	SLC1A3
Glutamic Acid	SLC1A2
Glutamic Acid	SLC1A1
Glutamic Acid	GCLC
Glutamic Acid	SLC1A6
Glutamic Acid	GLUD2
Glutamic Acid	GMPS
Glutamic Acid	BCAT1
Glutamic Acid	ABAT
Glutamic Acid	GRIN1
Glutamic Acid	FPGS
Glutamic Acid	ENPEP
Glutamic Acid	GRIN2A
Glutamic Acid	GRIN2B
Glutamic Acid	GRIN2C
Glutamic Acid	EARS2
Glutamic Acid	LGSN
Glutamic Acid	NADSYN1
Glutamic Acid	KYAT3
Glutamic Acid	NAGS
Glutamic Acid	AADAT
Glutamic Acid	GRIN3A
Glutamic Acid	GPT2
Glutamic Acid	SLC25A18
Glutamic Acid	SLC25A22
Glutamic Acid	AASS
Glutamic Acid	GLS2
Glutamic Acid	DNPEP
Glutamic Acid	GRID1
Glutamic Acid	SLC7A11
Glutamic Acid	CPQ
Glutamic Acid	PSAT1
Glutamic Acid	GLUD1
Glutamic Acid	GRIK1
Glutamic Acid	GRIA1
Glutamic Acid	GCLM
Glutamic Acid	FOLH1
Glutamic Acid	GAD2
Glutamic Acid	GAD1
Glutamic Acid	FTCD
Glutamic Acid	GRIA2
Glutamic Acid	GRIA3
Glutamic Acid	GRIA4
Glutamic Acid	ALDH18A1
Glutamic Acid	GRIK2
Glutamic Acid	GRIK3
Glutathione	MGST3
Glutathione	HPGDS
Glutathione	TXNDC12
Glutathione	GSTA1
Glutathione	GSTA2
Glutathione	MGST1
Glutathione	ESD
Glutathione	GGT1
Glutathione	GSTM2
Glutathione	GLRX
Glutathione	GPX4
Glutathione	GSTM5
Glutathione	GPX6
Glutathione	HAGH
Glutathione	GPX8
Glutathione	GPX7
Glutathione	MGST2
Glutathione	GSTO2
Glutathione	GLRX2
Glutathione	GLO1
Glutathione	LTC4S
Glutathione	GSR
Glutathione	GSS
Glutathione	GSTM1
Glutathione	GSTK1
Glutathione	GSTA3
Glutathione	GSTM3
Glutathione	GSTA4
Glutathione	GSTM4
Glutathione	GSTA5
Glutathione	GSTP1
Glutathione	GSTO1
Glutathione	GPX1
Glutathione	GPX2
Glutathione	GSTT1
Glutathione	GSTZ1
Glutathione	GPX5
Glutathione	GPX3
Glutathione	AKR1B1
Glutathione	MMP9
Glutathione	CYP3A4
Phosphatidyl serine	DGKG
Phosphatidyl serine	DGKD
Phosphatidyl serine	PTDSS2
Phosphatidyl serine	SMPD4
Phosphatidyl serine	SMPD3
Phosphatidyl serine	ATP8A1
Phosphatidyl serine	PRKCA
Phosphatidyl serine	PTDSS1
Phosphatidyl serine	PISD
Phosphatidyl serine	SCARB1
Glycine	GCAT
Glycine	ALAS1
Glycine	ALAS2
Glycine	GCSH
Glycine	GARS
Glycine	GRIN2A
Glycine	BAAT
Glycine	GPR18
Glycine	GSS
Glycine	GRIN2C
Glycine	GLYAT
Glycine	SLC36A1
Glycine	SHMT2
Glycine	GLYATL2
Glycine	GLYATL1
Glycine	AGXT2
Glycine	SLC32A1
Glycine	PIPOX
Glycine	SLC6A5
Glycine	GRIN3B
Glycine	GLDC
Glycine	SLC6A9
Glycine	GLRA1
Glycine	AGXT
Glycine	GLRB
Glycine	SHMT1
Glycine	GLRA3
Glycine	GLRA2
Glycine	GNMT
Glycine	GATM
Calcidiol	VDR
Pyridoxal	PDXK
Creatine	CKM
Creatine	CKMT1B
Creatine	CKMT1A
Creatine	CKB
Creatine	CKMT2
Creatine	SLC6A8
Creatine	GAMT
L-Leucine	LARS2
L-Leucine	BCAT2
L-Leucine	BCAT1
L-Leucine	LCMT2
L-Leucine	LCMT1
L-Leucine	LARS
L-Tryptophan	WARS2
L-Tryptophan	WARS
L-Cysteine	GCLM
L-Cysteine	GCLC
L-Cysteine	GOT1
L-Cysteine	CTH
L-Cysteine	CBS
L-Cysteine	CBSL
L-Cysteine	CARS
L-Cysteine	MGMT
L-Cysteine	GSS
L-Cysteine	SLC19A3
L-Cysteine	CARS2
L-Cysteine	CSAD
L-Cysteine	NFS1
L-Cysteine	CDO1
Thiamine	TPK1
Thiamine	SLC19A2
Ergocalciferol	VDR
Dihomo-gamma-linolenic acid	PTGS1
Dihomo-gamma-linolenic acid	PTGS2
L-Citrulline	ASS1
L-Citrulline	DDAH2
L-Citrulline	ASS1
L-Citrulline	DDAH1
L-Citrulline	OTC
L-Citrulline	NOS1
L-Citrulline	NOS2
L-Citrulline	NOS3
L-Citrulline	PADI6
L-Citrulline	PADI1
L-Citrulline	PADI3
L-Citrulline	PADI2
L-Citrulline	PADI4
L-Threonine	THNSL1
L-Threonine	TARS
L-Threonine	TARS2
NADH	UGDH
NADH	ADH1A
NADH	SORD
NADH	ADH4
NADH	ADH1C
NADH	ADH1B
NADH	ADH7
NADH	GPD1
NADH	LDHAL6A
NADH	ADH5
NADH	AKR1B1
NADH	HSD17B10
NADH	MDH2
NADH	LDHA
NADH	ME2
NADH	HSD17B4
NADH	LDHAL6B
NADH	LDHC
NADH	LDHB
NADH	EHHADH
NADH	HADH
NADH	ME3
NADH	BDH1
NADH	MDH1
NADH	HIBADH
NADH	HSD17B3
NADH	HMGCR
NADH	ME1
NADH	PHGDH
NADH	HSD17B7
NADH	IDH3G
NADH	IDH3B
NADH	IDH3A
NADH	HSD17B1
NADH	HSD17B2
NADH	RDH5
NADH	H6PD
NADH	HSD17B8
NADH	AKR1C4
