SpNotation,Cell_Line_Name,Attention,SignalingPath,Cancer_name
sp32,A549/ATCC,0.0674138387193037,RIG-I-like receptor signaling pathway,Lung
sp33,A549/ATCC,0.0262335651761509,Rap1 signaling pathway,Lung
sp34,A549/ATCC,0.019694261277635,Ras signaling pathway,Lung
sp35,A549/ATCC,0.0248438054160194,Relaxin signaling pathway,Lung
sp36,A549/ATCC,0.0412635140257107,Signaling pathways regulating pluripotency of stem cells,Lung
sp37,A549/ATCC,0.0368471252656179,Sphingolipid signaling pathway,Lung
sp38,A549/ATCC,0.0,T cell receptor signaling pathway,Lung
sp39,A549/ATCC,0.0,TGF-beta signaling pathway,Lung
sp40,A549/ATCC,0.0,TNF signaling pathway,Lung
sp41,A549/ATCC,0.0176453166248877,Thyroid hormone signaling pathway,Lung
sp42,A549/ATCC,0.0433188208388059,Toll-like receptor signaling pathway,Lung
sp43,A549/ATCC,0.0,VEGF signaling pathway,Lung
sp44,A549/ATCC,0.022887544407199,Wnt signaling pathway,Lung
sp45,A549/ATCC,0.0140898120492148,cAMP signaling pathway,Lung
sp46,A549/ATCC,0.0291285417170742,cGMP-PKG signaling pathway,Lung
sp47,A549/ATCC,0.028414416963403,mTOR signaling pathway,Lung
sp48,A549/ATCC,0.0194114600458232,p53 signaling pathway,Lung
sp1,ACHN,0.0277649698221568,AGE-RAGE signaling pathway in diabetic complications,Renal
sp2,ACHN,0.0221994075029918,AMPK signaling pathway,Renal
sp3,ACHN,0.0271584054183333,Adipocytokine signaling pathway,Renal
sp4,ACHN,0.0208137604275063,Apelin signaling pathway,Renal
sp5,ACHN,0.0,B cell receptor signaling pathway,Renal
sp6,ACHN,0.0408897262694189,C-type lectin receptor signaling pathway,Renal
sp7,ACHN,0.0317420425421832,Calcium signaling pathway,Renal
sp8,ACHN,0.0137467329003921,Chemokine signaling pathway,Renal
sp9,ACHN,0.0484533169395901,ErbB signaling pathway,Renal
sp10,ACHN,0.0322501192839433,Estrogen signaling pathway,Renal
sp11,ACHN,0.0,Fc epsilon RI signaling pathway,Renal
sp12,ACHN,0.0165630859859581,FoxO signaling pathway,Renal
sp13,ACHN,0.030268325183526,Glucagon signaling pathway,Renal
sp14,ACHN,0.0,GnRH signaling pathway,Renal
sp15,ACHN,0.0269569600786867,HIF-1 signaling pathway,Renal
sp16,ACHN,0.0,Hedgehog signaling pathway,Renal
sp17,ACHN,0.0186540262751444,Hippo signaling pathway,Renal
sp18,ACHN,0.0,Hippo signaling pathway - multiple species,Renal
sp19,ACHN,0.0,IL-17 signaling pathway,Renal
sp20,ACHN,0.0323206237806945,Insulin signaling pathway,Renal
sp21,ACHN,0.0114586474918717,JAK-STAT signaling pathway,Renal
sp22,ACHN,0.0183595736806584,MAPK signaling pathway,Renal
sp23,ACHN,0.0,NF-kappa B signaling pathway,Renal
sp24,ACHN,0.0,NOD-like receptor signaling pathway,Renal
sp25,ACHN,0.0263643306232411,Neurotrophin signaling pathway,Renal
sp26,ACHN,0.018877593060891,Notch signaling pathway,Renal
sp27,ACHN,0.0265395761927006,Oxytocin signaling pathway,Renal
sp28,ACHN,0.0155073177425263,PI3K-Akt signaling pathway,Renal
sp29,ACHN,0.0,PPAR signaling pathway,Renal
sp30,ACHN,0.0,Phospholipase D signaling pathway,Renal
sp31,ACHN,0.0,Prolactin signaling pathway,Renal
sp32,ACHN,0.0,RIG-I-like receptor signaling pathway,Renal
sp33,ACHN,0.0186043702894249,Rap1 signaling pathway,Renal
sp34,ACHN,0.0245128998543362,Ras signaling pathway,Renal
sp35,ACHN,0.0293516082598144,Relaxin signaling pathway,Renal
sp36,ACHN,0.0,Signaling pathways regulating pluripotency of stem cells,Renal
sp37,ACHN,0.0,Sphingolipid signaling pathway,Renal
sp38,ACHN,0.0,T cell receptor signaling pathway,Renal
sp39,ACHN,0.0,TGF-beta signaling pathway,Renal
sp40,ACHN,0.0448202360241277,TNF signaling pathway,Renal
sp41,ACHN,0.0169333800853918,Thyroid hormone signaling pathway,Renal
sp42,ACHN,0.0536428565633154,Toll-like receptor signaling pathway,Renal
sp43,ACHN,0.0244283116514073,VEGF signaling pathway,Renal
sp44,ACHN,0.0169870979041987,Wnt signaling pathway,Renal
sp45,ACHN,0.0182605518651019,cAMP signaling pathway,Renal
sp46,ACHN,0.0208904350601607,cGMP-PKG signaling pathway,Renal
sp47,ACHN,0.0257778670116339,mTOR signaling pathway,Renal
sp48,ACHN,0.0,p53 signaling pathway,Renal
sp1,BT-549,0.0273555372295097,AGE-RAGE signaling pathway in diabetic complications,Breast
sp2,BT-549,0.021390331504487,AMPK signaling pathway,Breast
sp3,BT-549,0.0379530901804385,Adipocytokine signaling pathway,Breast
sp4,BT-549,0.0211181433525186,Apelin signaling pathway,Breast
sp5,BT-549,0.0,B cell receptor signaling pathway,Breast
sp6,BT-549,0.0471592401724509,C-type lectin receptor signaling pathway,Breast
sp7,BT-549,0.0255651043905486,Calcium signaling pathway,Breast
sp8,BT-549,0.0120982004840987,Chemokine signaling pathway,Breast
sp9,BT-549,0.0,ErbB signaling pathway,Breast
sp10,BT-549,0.0247115833167479,Estrogen signaling pathway,Breast
sp11,BT-549,0.0,Fc epsilon RI signaling pathway,Breast
sp12,BT-549,0.0175937082745992,FoxO signaling pathway,Breast
sp13,BT-549,0.0,Glucagon signaling pathway,Breast
sp14,BT-549,0.0487666769683018,GnRH signaling pathway,Breast
sp15,BT-549,0.0242528175572726,HIF-1 signaling pathway,Breast
sp16,BT-549,0.032899336184074,Hedgehog signaling pathway,Breast
sp17,BT-549,0.0139606591404368,Hippo signaling pathway,Breast
sp18,BT-549,0.0,Hippo signaling pathway - multiple species,Breast
sp19,BT-549,0.0,IL-17 signaling pathway,Breast
sp20,BT-549,0.0,Insulin signaling pathway,Breast
sp21,BT-549,0.0191720004352363,JAK-STAT signaling pathway,Breast
sp22,BT-549,0.019881721341055,MAPK signaling pathway,Breast
sp23,BT-549,0.0288930704368097,NF-kappa B signaling pathway,Breast
sp24,BT-549,0.0,NOD-like receptor signaling pathway,Breast
sp25,BT-549,0.0,Neurotrophin signaling pathway,Breast
sp26,BT-549,0.0,Notch signaling pathway,Breast
sp27,BT-549,0.0332766851270832,Oxytocin signaling pathway,Breast
sp28,BT-549,0.016425867296942,PI3K-Akt signaling pathway,Breast
sp29,BT-549,0.0231299228516426,PPAR signaling pathway,Breast
sp30,BT-549,0.0,Phospholipase D signaling pathway,Breast
sp31,BT-549,0.0,Prolactin signaling pathway,Breast
sp32,BT-549,0.0,RIG-I-like receptor signaling pathway,Breast
sp33,BT-549,0.0,Rap1 signaling pathway,Breast
sp34,BT-549,0.0197268696729908,Ras signaling pathway,Breast
sp35,BT-549,0.0,Relaxin signaling pathway,Breast
sp36,BT-549,0.0,Signaling pathways regulating pluripotency of stem cells,Breast
sp37,BT-549,0.0522602554301165,Sphingolipid signaling pathway,Breast
sp38,BT-549,0.0557500658213932,T cell receptor signaling pathway,Breast
sp39,BT-549,0.0287077088188907,TGF-beta signaling pathway,Breast
sp40,BT-549,0.0,TNF signaling pathway,Breast
sp41,BT-549,0.0198848566324571,Thyroid hormone signaling pathway,Breast
sp42,BT-549,0.0,Toll-like receptor signaling pathway,Breast
sp43,BT-549,0.0,VEGF signaling pathway,Breast
sp44,BT-549,0.0187698078713653,Wnt signaling pathway,Breast
sp45,BT-549,0.0155580255584204,cAMP signaling pathway,Breast
sp46,BT-549,0.0273607948045198,cGMP-PKG signaling pathway,Breast
sp47,BT-549,0.0,mTOR signaling pathway,Breast
sp48,BT-549,0.0199378884782835,p53 signaling pathway,Breast
sp1,CAKI-1,0.0238302314703191,AGE-RAGE signaling pathway in diabetic complications,Renal
sp2,CAKI-1,0.0181132923088582,AMPK signaling pathway,Renal
sp3,CAKI-1,0.0326991340276315,Adipocytokine signaling pathway,Renal
sp4,CAKI-1,0.024335163170326,Apelin signaling pathway,Renal
sp5,CAKI-1,0.0,B cell receptor signaling pathway,Renal
sp6,CAKI-1,0.0420027421811462,C-type lectin receptor signaling pathway,Renal
sp7,CAKI-1,0.0221634353119002,Calcium signaling pathway,Renal
sp8,CAKI-1,0.0113952787746332,Chemokine signaling pathway,Renal
sp9,CAKI-1,0.0,ErbB signaling pathway,Renal
sp10,CAKI-1,0.0194906347397235,Estrogen signaling pathway,Renal
sp11,CAKI-1,0.0,Fc epsilon RI signaling pathway,Renal
sp12,CAKI-1,0.0159559987825539,FoxO signaling pathway,Renal
sp13,CAKI-1,0.0233712468549398,Glucagon signaling pathway,Renal
sp14,CAKI-1,0.0852860736472115,GnRH signaling pathway,Renal
sp15,CAKI-1,0.0224270030841025,HIF-1 signaling pathway,Renal
sp16,CAKI-1,0.0,Hedgehog signaling pathway,Renal
sp17,CAKI-1,0.0160164776729817,Hippo signaling pathway,Renal
sp18,CAKI-1,0.0,Hippo signaling pathway - multiple species,Renal
sp19,CAKI-1,0.0,IL-17 signaling pathway,Renal
sp20,CAKI-1,0.0353708465978825,Insulin signaling pathway,Renal
sp21,CAKI-1,0.0118873988523417,JAK-STAT signaling pathway,Renal
sp22,CAKI-1,0.0160744615045235,MAPK signaling pathway,Renal
sp23,CAKI-1,0.0,NF-kappa B signaling pathway,Renal
sp24,CAKI-1,0.0,NOD-like receptor signaling pathway,Renal
sp25,CAKI-1,0.0,Neurotrophin signaling pathway,Renal
sp26,CAKI-1,0.0401499346888888,Notch signaling pathway,Renal
sp27,CAKI-1,0.0247389008441709,Oxytocin signaling pathway,Renal
sp28,CAKI-1,0.0147581464298238,PI3K-Akt signaling pathway,Renal
sp29,CAKI-1,0.0,PPAR signaling pathway,Renal
sp30,CAKI-1,0.0,Phospholipase D signaling pathway,Renal
sp31,CAKI-1,0.0,Prolactin signaling pathway,Renal
sp32,CAKI-1,0.0,RIG-I-like receptor signaling pathway,Renal
sp33,CAKI-1,0.0169063058278368,Rap1 signaling pathway,Renal
sp34,CAKI-1,0.0213732017504713,Ras signaling pathway,Renal
sp35,CAKI-1,0.0307123501497884,Relaxin signaling pathway,Renal
sp36,CAKI-1,0.0,Signaling pathways regulating pluripotency of stem cells,Renal
sp37,CAKI-1,0.0,Sphingolipid signaling pathway,Renal
sp38,CAKI-1,0.0,T cell receptor signaling pathway,Renal
sp39,CAKI-1,0.0283711779604396,TGF-beta signaling pathway,Renal
sp40,CAKI-1,0.0533503449712411,TNF signaling pathway,Renal
sp41,CAKI-1,0.0,Thyroid hormone signaling pathway,Renal
sp42,CAKI-1,0.0,Toll-like receptor signaling pathway,Renal
sp43,CAKI-1,0.035757265319484,VEGF signaling pathway,Renal
sp44,CAKI-1,0.0185393201037282,Wnt signaling pathway,Renal
sp45,CAKI-1,0.0159668720479974,cAMP signaling pathway,Renal
sp46,CAKI-1,0.0268335364621615,cGMP-PKG signaling pathway,Renal
sp47,CAKI-1,0.0293482061805496,mTOR signaling pathway,Renal
sp48,CAKI-1,0.0099370850657505,p53 signaling pathway,Renal
sp1,DU-145,0.0301086212180882,AGE-RAGE signaling pathway in diabetic complications,Prostate
sp2,DU-145,0.0211603391368674,AMPK signaling pathway,Prostate
sp3,DU-145,0.0365799263673684,Adipocytokine signaling pathway,Prostate
sp4,DU-145,0.0206109675834588,Apelin signaling pathway,Prostate
sp5,DU-145,0.0,B cell receptor signaling pathway,Prostate
sp6,DU-145,0.0400942131113861,C-type lectin receptor signaling pathway,Prostate
sp7,DU-145,0.0364229962496171,Calcium signaling pathway,Prostate
sp8,DU-145,0.0130448079481553,Chemokine signaling pathway,Prostate
sp9,DU-145,0.0,ErbB signaling pathway,Prostate
sp10,DU-145,0.0,Estrogen signaling pathway,Prostate
sp11,DU-145,0.0,Fc epsilon RI signaling pathway,Prostate
sp12,DU-145,0.0236398002069918,FoxO signaling pathway,Prostate
sp13,DU-145,0.0333069319298826,Glucagon signaling pathway,Prostate
sp14,DU-145,0.0734818547070706,GnRH signaling pathway,Prostate
sp15,DU-145,0.0177215868320539,HIF-1 signaling pathway,Prostate
sp16,DU-145,0.0250607076420952,Hedgehog signaling pathway,Prostate
sp17,DU-145,0.0153586365516997,Hippo signaling pathway,Prostate
sp18,DU-145,0.0,Hippo signaling pathway - multiple species,Prostate
sp19,DU-145,0.018291217868263,IL-17 signaling pathway,Prostate
sp20,DU-145,0.0,Insulin signaling pathway,Prostate
sp21,DU-145,0.0109379862819243,JAK-STAT signaling pathway,Prostate
sp22,DU-145,0.0173882393099372,MAPK signaling pathway,Prostate
sp23,DU-145,0.0309372520803181,NF-kappa B signaling pathway,Prostate
sp24,DU-145,0.0650712959364228,NOD-like receptor signaling pathway,Prostate
sp25,DU-145,0.029004189410853,Neurotrophin signaling pathway,Prostate
sp26,DU-145,0.0,Notch signaling pathway,Prostate
sp27,DU-145,0.0,Oxytocin signaling pathway,Prostate
sp28,DU-145,0.0160893706804491,PI3K-Akt signaling pathway,Prostate
sp29,DU-145,0.0,PPAR signaling pathway,Prostate
sp30,DU-145,0.04249609730531,Phospholipase D signaling pathway,Prostate
sp31,DU-145,0.03769841423082,Prolactin signaling pathway,Prostate
sp32,DU-145,0.0689874330162371,RIG-I-like receptor signaling pathway,Prostate
sp33,DU-145,0.029638917374192,Rap1 signaling pathway,Prostate
sp34,DU-145,0.0,Ras signaling pathway,Prostate
sp35,DU-145,0.0210081243323325,Relaxin signaling pathway,Prostate
sp36,DU-145,0.0487703561721768,Signaling pathways regulating pluripotency of stem cells,Prostate
sp37,DU-145,0.0452726304667796,Sphingolipid signaling pathway,Prostate
sp38,DU-145,0.0562315047276965,T cell receptor signaling pathway,Prostate
sp39,DU-145,0.0292462002820797,TGF-beta signaling pathway,Prostate
sp40,DU-145,0.0,TNF signaling pathway,Prostate
sp41,DU-145,0.0175915568043696,Thyroid hormone signaling pathway,Prostate
sp42,DU-145,0.0395238523571346,Toll-like receptor signaling pathway,Prostate
sp43,DU-145,0.0438369584797126,VEGF signaling pathway,Prostate
sp44,DU-145,0.0218903823754397,Wnt signaling pathway,Prostate
sp45,DU-145,0.0162725253798165,cAMP signaling pathway,Prostate
sp46,DU-145,0.0309095301776666,cGMP-PKG signaling pathway,Prostate
sp47,DU-145,0.0176949603315555,mTOR signaling pathway,Prostate
sp48,DU-145,0.013409062853406,p53 signaling pathway,Prostate
sp1,EKVX,0.0296345328812744,AGE-RAGE signaling pathway in diabetic complications,Lung
sp2,EKVX,0.0220203847452214,AMPK signaling pathway,Lung
sp3,EKVX,0.040991211228421,Adipocytokine signaling pathway,Lung
sp4,EKVX,0.0205173665607513,Apelin signaling pathway,Lung
sp5,EKVX,0.0,B cell receptor signaling pathway,Lung
sp6,EKVX,0.0447625634146376,C-type lectin receptor signaling pathway,Lung
sp7,EKVX,0.0313003173507296,Calcium signaling pathway,Lung
sp8,EKVX,0.0137670284978026,Chemokine signaling pathway,Lung
sp9,EKVX,0.0,ErbB signaling pathway,Lung
sp10,EKVX,0.0,Estrogen signaling pathway,Lung
sp11,EKVX,0.0,Fc epsilon RI signaling pathway,Lung
sp12,EKVX,0.0181476882451761,FoxO signaling pathway,Lung
sp13,EKVX,0.0271486508971348,Glucagon signaling pathway,Lung
sp14,EKVX,0.0,GnRH signaling pathway,Lung
sp15,EKVX,0.0219966051854627,HIF-1 signaling pathway,Lung
sp16,EKVX,0.0144662072802564,Hedgehog signaling pathway,Lung
sp17,EKVX,0.0170813436155997,Hippo signaling pathway,Lung
sp18,EKVX,0.0541571146861722,Hippo signaling pathway - multiple species,Lung
sp19,EKVX,0.0374814218730434,IL-17 signaling pathway,Lung
sp20,EKVX,0.0,Insulin signaling pathway,Lung
sp21,EKVX,0.012865598873398,JAK-STAT signaling pathway,Lung
sp22,EKVX,0.016684218268476,MAPK signaling pathway,Lung
sp23,EKVX,0.0279055710304826,NF-kappa B signaling pathway,Lung
sp24,EKVX,0.0707104823453579,NOD-like receptor signaling pathway,Lung
sp25,EKVX,0.0,Neurotrophin signaling pathway,Lung
sp26,EKVX,0.0,Notch signaling pathway,Lung
sp27,EKVX,0.0,Oxytocin signaling pathway,Lung
sp28,EKVX,0.0166575102581622,PI3K-Akt signaling pathway,Lung
sp29,EKVX,0.0,PPAR signaling pathway,Lung
sp30,EKVX,0.0399944466426779,Phospholipase D signaling pathway,Lung
sp31,EKVX,0.0376984139303452,Prolactin signaling pathway,Lung
sp32,EKVX,0.0631933584548672,RIG-I-like receptor signaling pathway,Lung
sp33,EKVX,0.027633759226934,Rap1 signaling pathway,Lung
sp34,EKVX,0.0,Ras signaling pathway,Lung
sp35,EKVX,0.0229795303762025,Relaxin signaling pathway,Lung
sp36,EKVX,0.0375839351428571,Signaling pathways regulating pluripotency of stem cells,Lung
sp37,EKVX,0.0375802617985714,Sphingolipid signaling pathway,Lung
sp38,EKVX,0.0499688058594827,T cell receptor signaling pathway,Lung
sp39,EKVX,0.0294309585615442,TGF-beta signaling pathway,Lung
sp40,EKVX,0.0,TNF signaling pathway,Lung
sp41,EKVX,0.0,Thyroid hormone signaling pathway,Lung
sp42,EKVX,0.0373886145202639,Toll-like receptor signaling pathway,Lung
sp43,EKVX,0.0356670184393778,VEGF signaling pathway,Lung
sp44,EKVX,0.0090845315906234,Wnt signaling pathway,Lung
sp45,EKVX,0.0168183820764171,cAMP signaling pathway,Lung
sp46,EKVX,0.0201527589411912,cGMP-PKG signaling pathway,Lung
sp47,EKVX,0.026939547822258,mTOR signaling pathway,Lung
sp48,EKVX,0.0259319844558888,p53 signaling pathway,Lung
sp1,HCT-116,0.0245752549135784,AGE-RAGE signaling pathway in diabetic complications,Colon
sp2,HCT-116,0.0226540934609946,AMPK signaling pathway,Colon
sp3,HCT-116,0.0387462987039473,Adipocytokine signaling pathway,Colon
sp4,HCT-116,0.0190412941515746,Apelin signaling pathway,Colon
sp5,HCT-116,0.0,B cell receptor signaling pathway,Colon
sp6,HCT-116,0.0,C-type lectin receptor signaling pathway,Colon
sp7,HCT-116,0.0305514762372133,Calcium signaling pathway,Colon
sp8,HCT-116,0.0245051642480195,Chemokine signaling pathway,Colon
sp9,HCT-116,0.0438763359988184,ErbB signaling pathway,Colon
sp10,HCT-116,0.0,Estrogen signaling pathway,Colon
sp11,HCT-116,0.0,Fc epsilon RI signaling pathway,Colon
sp12,HCT-116,0.0212211717164344,FoxO signaling pathway,Colon
sp13,HCT-116,0.0205584004658501,Glucagon signaling pathway,Colon
sp14,HCT-116,0.0647300592135294,GnRH signaling pathway,Colon
sp15,HCT-116,0.0213881316918155,HIF-1 signaling pathway,Colon
sp16,HCT-116,0.0,Hedgehog signaling pathway,Colon
sp17,HCT-116,0.0195383835370433,Hippo signaling pathway,Colon
sp18,HCT-116,0.0,Hippo signaling pathway - multiple species,Colon
sp19,HCT-116,0.0203554605622302,IL-17 signaling pathway,Colon
sp20,HCT-116,0.0339664433239356,Insulin signaling pathway,Colon
sp21,HCT-116,0.0088596608693729,JAK-STAT signaling pathway,Colon
sp22,HCT-116,0.0182678735204084,MAPK signaling pathway,Colon
sp23,HCT-116,0.0,NF-kappa B signaling pathway,Colon
sp24,HCT-116,0.0,NOD-like receptor signaling pathway,Colon
sp25,HCT-116,0.0227865282503328,Neurotrophin signaling pathway,Colon
sp26,HCT-116,0.0,Notch signaling pathway,Colon
sp27,HCT-116,0.0,Oxytocin signaling pathway,Colon
sp28,HCT-116,0.0125126304980781,PI3K-Akt signaling pathway,Colon
sp29,HCT-116,0.0,PPAR signaling pathway,Colon
sp30,HCT-116,0.0400951902777991,Phospholipase D signaling pathway,Colon
sp31,HCT-116,0.0376984140103174,Prolactin signaling pathway,Colon
sp32,HCT-116,0.0636372536257812,RIG-I-like receptor signaling pathway,Colon
sp33,HCT-116,0.0216401057591304,Rap1 signaling pathway,Colon
sp34,HCT-116,0.0210900655947837,Ras signaling pathway,Colon
sp35,HCT-116,0.0234389076409878,Relaxin signaling pathway,Colon
sp36,HCT-116,0.0371619947134693,Signaling pathways regulating pluripotency of stem cells,Colon
sp37,HCT-116,0.0465661116293357,Sphingolipid signaling pathway,Colon
sp38,HCT-116,0.0596935351031807,T cell receptor signaling pathway,Colon
sp39,HCT-116,0.0,TGF-beta signaling pathway,Colon
sp40,HCT-116,0.0,TNF signaling pathway,Colon
sp41,HCT-116,0.0195452548841687,Thyroid hormone signaling pathway,Colon
sp42,HCT-116,0.0429943818190401,Toll-like receptor signaling pathway,Colon
sp43,HCT-116,0.0,VEGF signaling pathway,Colon
sp44,HCT-116,0.0213051136691154,Wnt signaling pathway,Colon
sp45,HCT-116,0.0178806640570872,cAMP signaling pathway,Colon
sp46,HCT-116,0.0273897419789714,cGMP-PKG signaling pathway,Colon
sp47,HCT-116,0.0328845664021634,mTOR signaling pathway,Colon
sp48,HCT-116,0.0191570240678991,p53 signaling pathway,Colon
sp1,HCT-15,0.0230736945247156,AGE-RAGE signaling pathway in diabetic complications,Colon
sp2,HCT-15,0.0230848306730731,AMPK signaling pathway,Colon
sp3,HCT-15,0.0275729353451754,Adipocytokine signaling pathway,Colon
sp4,HCT-15,0.0183944318124591,Apelin signaling pathway,Colon
sp5,HCT-15,0.0,B cell receptor signaling pathway,Colon
sp6,HCT-15,0.0353101581345296,C-type lectin receptor signaling pathway,Colon
sp7,HCT-15,0.0305154454117654,Calcium signaling pathway,Colon
sp8,HCT-15,0.0139286854928458,Chemokine signaling pathway,Colon
sp9,HCT-15,0.0,ErbB signaling pathway,Colon
sp10,HCT-15,0.0297129508552547,Estrogen signaling pathway,Colon
sp11,HCT-15,0.0619665174109401,Fc epsilon RI signaling pathway,Colon
sp12,HCT-15,0.0152744649186759,FoxO signaling pathway,Colon
sp13,HCT-15,0.0,Glucagon signaling pathway,Colon
sp14,HCT-15,0.0538359678872767,GnRH signaling pathway,Colon
sp15,HCT-15,0.0227798944078765,HIF-1 signaling pathway,Colon
sp16,HCT-15,0.036520142660921,Hedgehog signaling pathway,Colon
sp17,HCT-15,0.0211899928131904,Hippo signaling pathway,Colon
sp18,HCT-15,0.0,Hippo signaling pathway - multiple species,Colon
sp19,HCT-15,0.0,IL-17 signaling pathway,Colon
sp20,HCT-15,0.0,Insulin signaling pathway,Colon
sp21,HCT-15,0.0135170840642499,JAK-STAT signaling pathway,Colon
sp22,HCT-15,0.0195111361758201,MAPK signaling pathway,Colon
sp23,HCT-15,0.0276904238270671,NF-kappa B signaling pathway,Colon
sp24,HCT-15,0.0779757272777751,NOD-like receptor signaling pathway,Colon
sp25,HCT-15,0.0,Neurotrophin signaling pathway,Colon
sp26,HCT-15,0.0,Notch signaling pathway,Colon
